_New;Nuevo
CompanyColon;Empresa:
ExpressionColon;Expresión:
FormulaColon;Fórmula:
Save;Guardar
ReadAndWrite;Lectura y escritura
Message;Mensaje
EditServer;Modificar servidor
SourceColon;Origen:
Path;Ruta
SelectSeveral;Seleccionar varios
TextColon;Texto:
Type;Tipo
FormatType;Tipo formato
ValueColon;Valor:
CheckConnection;Verificar conexión
ParenthesesRestOfEurope;(Resto de Europa)
ParenthesesRestOfTheWorld;(Resto del mundo)
AnonymousAccess;Acceso anónimo.
About;Acerca de
AttachedColon;Adjunto:
Germany;Alemania
AmazonS3;Amazon S3
Andorra;Andorra
Argentina;Argentina
Australia;Australia
Austria;Austria
SqlAuthentication;Autentificación SQL
Belgium;Bélgica
Bolivia;Bolivia
Brazil;Brasil
Bulgaria;Bulgaria
Search;Buscar
ConnectionStringColon;Cadena de conexión:
Calculator;Calculadora
CalendarColon;Calendario:
ChangesInTheCloud;Cambios en la nube
Canada;Canadá
Loading;Cargando
CubeFolderColon;Carpeta de cubos:
FolderColon;Carpeta:
GitFolders;Carpetas GIT
LocalCatalog;Catálogo local
CatalogColon;Catálogo:
Catalogs;Catálogos
RecentCatalogsColon;Catálogos recientes:
Chile;Chile
China;China
Cyprus;Chipre
CityColon;Ciudad:
AccessKey;Clave de acceso
Colombia;Colombia
Column;Columna
Check;Comprobar
Granted;Concedido
ComputerConnection;Conexión de equipo
ComputerConnections;Conexiones de equipo
ConnectionsColon;Conexiones:
ContainsNulls;Contiene nulos
CopyText;Copiar texto
CostaRica;Costa Rica
CreateDatabase;Crear base de datos
AmazonCredentials;Credenciales Amazon
EmailCredentials;Credenciales correo
GitCredentials;Credenciales de GIT
NetworkCredentials;Credenciales de red
Cuba;Cuba
Cube;Cubo
Cubes;Cubos
LocalCubesColon;Cubos locales:
Denied;Denegado
Deny;Denegar
DownloadColon;Descarga:
_Stop;Detener
Denmark;Dinamarca
UrlAddressColon;Dirección Url:
AddressColon;Dirección:
DomainColon;Dominio:
Ecuador;Ecuador
EditManually;Editar manualmente
ExecutingActions;Ejecutando acciones
ElSalvador;El Salvador
BusinessItemColon;Elemento de negocio:
RemoveFromTheList;Eliminar de la lista
DeleteFilter;Eliminar filtro
Awaiting;En espera
_Error;Error
Spain;España
UnitedStates;Estados Unidos
Style;Estilo
TokenDateColon;Fecha token:
Fetch;Fetch
Philippines;Filipinas
FilterCatalogColon;Filtrar catálogo:
AdvancedFilter;Filtro avanzado
CombinedFilterColon;Filtro combinado:
AdvancedFormula;Fórmula avanzada
France;Francia
Generic;Generica
Gibraltar;Gibraltar
Greece;Grecia
GroupsColon;Grupos:
SaveAs;Guardar como
SaveInTheCloud;Guardar en la nube
SaveLocally;Guardar en local
Guatemala;Guatemala
Guinea;Guinea
EquatorialGuinea;Guinea Ecuatorial
Haiti;Haití
Inherited;Heredado
Honduras;Honduras
Identification;Identificación
AvailableLanguagesColon;Idiomas disponibles:
India;India
Ireland;Irlanda
Israel;Israel
Italy;Italia
Japan;Japón
Read;Lectura
LimitResult;Limitar resultado
LimitColon;Límite:
Clear;Limpiar
ClearColumns;Limpiar columnas
Morocco;Marruecos
MessageColon;Mensaje:
Messages;Mensajes
Mexico;México
ThankYouSoMuch;Muchas gracias
SampleColon;Muestra:
Nicaragua;Nicaragua
ConnectionName;Nombre conexión
KeyNameColon;Nombre de la Key:
BucketNameColon;Nombre del bucket:
Norway;Noruega
NewConnection;Nueva conexión
NewParameter;Nuevo parametro
LicenseNumberColon;Número de licencia:
AdvancedOptions;Opciones avanzadas
AdvancedOperators;Operadores avanzados
SortResult;Ordenar resultado
OrganizationColon;Organización:
CountryColon;País:
Netherlands;Países Bajos
Panama;Panamá
Paraguay;Paraguay
CalculatedParameter;Parámetro calculado
UserParameter;Parámetro de usuario
ParameterColon;Parámetro:
Pending;Pendiente
PermissionsColon;Permisos:
ContactPersonColon;Persona de contacto:
Peru;Perú
PleaseWait;Por favor espere.
Portugal;Portugal
GitProjectsColon;Projectos git:
PropertiesColon;Propiedades:
ProxyColon;Proxy:
PuertoRico;Puerto Rico
PortColon;Puerto:
Pull;Pull
Push;Push
Refresh;Refrescar
RegionColon;Región:
Register;Registrar
RegisterProduct;Registrar producto
UnitedKingdom;Reino Unido
DominicanRepublic;República Dominicana
Russia;Rusia
SecretKeyColon;Secret Key:
MultipleSelection;Selección múltiple
SimpleSelection;Selección simple
SelectAll;Seleccionar todos
CronoServer;Servidor crono
LocalServerColon;Servidor local:
SierraLeone;Sierra Leona
_ReadOnly;Solo lectura
Support;Soporte
SqlServer;SQL Server
SouthAfrica;Sudáfrica
Sweden;Suecia
Switzerland;Suiza
Substitutions;Sustituciones
AccessTypeColon;Tipo de acceso:
TokenColon;Token:
JobsColon;Trabajos:
Turkey;Turquía
CurrentLocationColon;Ubicación actual:
Uruguay;Uruguay
UsernameColonNotLocalized;Username:
UserOrGroupColon;Usuario o grupo:
UsersColon;Usuarios:
DefaultValueColon;Valor por defecto:
Venezuela;Venezuela
ShowDifferences;Ver diferencias
ShowDetailedError;Ver error detallado
ShowReport;Ver informe
ShowExecutionLog;Ver log de ejecución
ExpectedVersion;Versión esperada
VersionColon;Versión:
SupportWebColon;Web de soporte:
AndUpperCase;Y
NewBusinessItem;Nuevo elemento de negocio
ThereWasAnErrorDuringObjectVerification;Ha habido un error durante la verificación del objeto.
NewFolder;Nueva carpeta
NewItem;Nuevo elemento
Right;Derecha
Document;Documento
EditReport;Editar informe
AwaitingElipsis;Esperando...
Browse;Examinar
EndDate;Fecha fin
StartDate;Fecha inicio
Filters;Filtros
Parameters;Parámetros
ForeignKeys;Claves externas
Views;Vistas
TimeElapsedColon;Tiempo transcurrido:
AuthorColon;Autor:
TitleColon;Título:
NewQuery;Nueva consulta
Publish;Publicar
AskEnsureWantPublishThisDocumentPublicationLocationColonParameterTheDocumentWillBeSavedBeforePublishing;¿Está seguro que desea publicar este documento?||Ubicación de publicación:|{0}||El documento se guardará antes de publicar.
CreatingMainWindow;Creando MainWindow
AskWantDeleteAllSelectedBusinessItems;¿Desea eliminar todos los elementos de negocio seleccionados?
ReportProperties;Propiedades de informe
TheCatalogPathCannotBeLeftBlank;La ruta del catálogo no se puede dejar en blanco
DefaultCredentials;Credenciales predeterminadas
TheUserIsNotDefined;El usuario no está definido
UpdatingElipsis;Actualizando...
CurrentlyItIsNotPossibleToModifyDefaultIconsOfConditionalFormatsThisConditionalFormatMustBeDeletedIntColumnParameterBetweenParenthesesInOrderToSaveThisDocument;Actualmente no es posible modificar los iconos predeterminados de los formatos condicionales.||Se debe eliminar este formato condicional en la columna '{0}' para poder guardar este documento.
TheFileDoesNotExists;El archivo no existe
ThisVersionIsTooOldConsultWithYourSystemAdministratorToInstallANewerVersionOfCrono;Esta versión es demasiado antigua. Consulte con el administrador del sistema para instalar una versión más reciente de Crono.
FiltersOfThisSheet;Filtros de esta hoja
WeCannotSaveParameterBetweenQuotesBecauseTheFileIsReadOnlyInOrderToSaveChangesSaveReportWithNewNameInDifferentLocation;No podemos guardar '{0}' porque el archivo es de solo lectura.||Para guardar sus cambios, guarde el informe con un nuevo nombre en una ubicación distinta.
FileUpperCase;ARCHIVO
OpenLocation;Abrir ubicación
NewSite;Nuevo sitio
ShowLog;Ver registro
NewReport;Nuevo informe
InterfaceLanguageColon;Idioma de la interfaz:
Application;Aplicación
IfFindErrorsInAnyTranslationHelpUsByWritingUsToInfoCronoDotNet;Si encuentra errores en alguna de las traducciones ayúdenos escribiéndonos a info@crono.net
TestServer;Probar servidor
ThereAreUnsavedChangesAskEnsureWantCloseAndLoseChanges;Hay cambios sin guardar, ¿Está seguro de que desea cerrar y perder los cambios realizados?
Rename;Renombrar
CopyResult;Copiar resultado
ShowSql;Ver SQL
Result;Resultado
CopySql;Copiar SQL
UsernameColon;Nombre de usuario:
VariableNameColon;Nombre de la variable:
SmtpServerColon;Servidor SMTP:
EnableSsl;Habilitar SSL.
SenderEmailBetweenParenthesesColon;Remitente (correo electrónico):
SenderNameBetweenParenthesesColon;Remitente (nombre):
VariableValueColon;Valor de la variable:
TestingSmtpServer;Probando servidor SMTP
AskSaveChangesOfParameterBetweenQuotes;¿Guardar cambios de '{0}'?
CopyAllTablesNames;Copiar nombre de todas las tablas
ParameterRows;{0:N0} filas
ParameterColumns;{0:N0} columnas
CopyTablesNames;Copiar nombre de las tablas
CopyFieldsNames;Copiar nombre de los campos
AnUnexpectedErrorOccurredDuringConnectionStringCreation;Ha ocurrido un error imprevisto al generar la cadena de conexión.
Display;Mostrar
YouMustSpecifyAValidNameForThisVariable;Debe especificar un nombre válido para esta variable.
AVariableWithThisNameAlreadyExists;Ya existe una variable con este mismo nombre.
SaveAll;Guardar todo
ParameterReadonlyBetweenSquareBrackets;{0} [solo lectura]
ExecuteAll;Ejecutar todo
Authorizations;Autorizaciones
CollapseAll;Colapsar todo
CollapseChildren;Colapsar hijos
ManageAuthorizations;Administrar autorizaciones
ManageFolderAuthorizations;Administrar autorizaciones de la carpeta
ConvertToWebFolder;Convertir en carpeta web
CronoServerParameterHasBeenInstalledSuccessfully;Crono Server {0} se ha intalado correctamente
YouMustSpecifyTheServerName;Debe especificar el nombre del servidor
ErrorInstallingCronoServer;Error al instalar Crono Server
InstallingCronoServer;Instalando Crono Server
TheSpecifiedServerUrlIsNotValid;La url del servidor especificada no es válida
ServerProperties;Propiedades del servidor
SelectCronoServerFolder;Seleccione carpeta de crono server
SelectTheVersionToInstall;Seleccione la versión a instalar
ManagingAuthorizationsForTheDirectoryColon;Administrando autorizaciones para el directorio:
ManageConnections;Admninistrar conexiones
LogDatabase;Base de datos de log
LogDatabaseColon;Base de datos de log:
ConfigurationFolderColon;Carpeta de configuración:
ContentFolderColon;Carpeta de contenido:
ServerFolderParenthesesIisApplicationColon;Carpeta del servidor (aplicación IIS):
CheckStatus;Comprobar estado
CheckTheDatabaseStructure;Comprobar la estructura de la base de datos
Content;Contenido
TheServerIsWorkingCorrectly;El servidor está funcionando correctamente.
GoogleClientIdColon;Google ID cliente:
GoogleClientSecretColon;Google secreto cliente:
ServerInformation;Información del servidor
AuthenticationModeColon;Modo de autentificación:
CannotConnectToTheServerColon;No es posible conectar con el servidor:
RequestCount;Número de peticiones
InheritedPermissions;Permisos heredados
RecordCronoServerActivityInALogDatabase;Registrar en una base de datos de log la actividad de Crono Server.
ActivityLog;Registro de actividad
LastConnection;Última conexión
ServerUrlColon;Url del servidor:
User;Usuario
UserOrGroup;Usuario o grupo
ConnectedUsers;Usuarios conectados
InstalledVersionColon;Versión instalada:
NewGroup;Nuevo grupo
TheHostHasNoAValidFormatTheSpacesAndCharactersColonBarAreNotAllowed;El host no tiene un formato válido, los espacios y los caracteres ':/' no están admitidos.
TheSelectedSiteIsAlreadyInTheList;El site seleccionado ya está en la lista
NoUserOrGroupHasBeenSelected;No se ha seleccionado un usuario o grupo.
NewUser;Nuevo usuario
SiteProperties;Propiedades del sitio
TheUserNameMustBeEntered;Se debe introducir el nombre del usuario
SelectTheSiteFolder;Seleccione la carpeta del sitio
IfYouSelectThisOPtionServerWillRespondAllRequestAccordingTheFirstSiteWithoutValidatingHostOrAuthentication;Si selecciona esta opción el servidor responderá todas las peticiones según el primer ""site"", sin validar ni el ""host"" ni la autentificación.
AutoRouteCronoXmlFilesCxmlBetweenParentheses;Autoenrutar archivos Crono XML (*.cxml)
AutoRouteMarkdownFilesMdBetweenParentheses;Autoenrutar archivos markdown (*.md)
StartDocumentColon;Documento de inicio:
IsADevelopementServerLocalhostBetweenParentheses;Es un servidor de desarrollo (localhost)
Enabled;Habilitado
EditSite;Modificar sitio
RouteColon;Ruta:
Sites;Sitios
SitesColon;Sitios:
UsersAndGroups;Usuarios y grupos
ParameterAskWantToSelectANewPath;{0}|¿Desea seleccionar una nueva ruta?
ErrorInsertingDataColonParameterParameter;Error al insertar datos:|{0}
TheQueryOfDatainputValuesIsNotCorrectParameter;La consulta de valores de datainput no es correcta||{0}
ThePanelWillBeOverwrittenAskWantContinue;Se va a sobreescribir el panel.||¿Desea continuar?
TitleBetweenHyphensExecutionUpperCase;----------------- EJECUCIÓN -----------------
DoubleHyphenEndTimeColonParameter;-- Hora de finalización: {0}
DoubleHyphenStartTimeColonParameter;-- Hora de inicio: {0}
DoubleHyphenNumberOfRecordsColonParameter;-- Número de registros: {0}
DoubleHyphenTotalTimeColonParameterSeconds;-- Tiempo total: {0:N2} segundos
ParameterPerhapsBeingUsedByAnotherProgram;{0} Quizás esté siendo utilizado por otro programa.
ParameterPerhapsHasBeenMoverOrDeleted;{0} Quizás ha sido movido o eliminado.
ParameterNotDefined;{0} no definido.
AskWantDeleteTheReportParameterBetweenQuotes;¿Desea borrar el informe '{0}'?
AskWantToDeleteTheFolderParameterBetweenQuotesAndAllItsContents;¿Desea borrar la carpeta '{0}' y todo su contenido?
AskEnsureWantDeleteThisSheet;¿Está seguro de que desea eliminar esta hoja?
AskEnsureWantDeleteThisPanel;¿Está seguro de que desea eliminar este panel?
DashboardOpeningDiscarded;Abertura de dashboard descartada
EndActionExecutedSuccessfully;Acción al final ejecutada correctamente
InitialActionExecutedSuccessfully;Acción al principio ejecutada correctamente
ActionExecutedSuccessfully;Acción ejecutada correctamente.
EachRowActionExecutedSuccessfully;Acción para cada fila ejecutada correctamente
ReportManager;Administrador de informes
WpfApplicationLoaded;Aplicación WPF cargada
AuthenticationColonWindows;Autentificación: Windows
ApplicationLoadCompleted;Carga aplicación completada
RemoteCatalogInnaccesibleParameterBetweenParenthesesCheckInternetConnectionAndRemoteCatalogAddress;Catálogo remoto inaccesible ({0}). Verifique su conexión a internet y la dirección remota del catálogo.
CreateDocumentWithCatalogParameterBetweenQuotes;Crear un documento con el catálogo ""{0}""
NetworkCredentialsColonParameter;Credenciales de red: {0}
NetworkCredentialsColonNotSpecified;Credenciales de red: No especificadas
CronoServerInfoConnectedUserColonParameter;Crono server (info), Connected user: {0}
CronoServerInfoIisUserDomainNameColonParameter;Crono server (info), IIS user domain name: {0}
CronoServerInfoServerDomainNameColonParameter;Crono server (info), Server domain name: {0}
WhenTwoDimensionsPieChartMapsOnlySupportsOneIndicator;Cuando hay 2 dimensiones, los mapas de graficos circulares solo admiten 1 indicador
FromLeftToRight;De izquierda a derecha
YouMustChooseTheNameOfTheReport;Debe escoger el nombre del informe
DomainColonParameter;Dominio: {0}
TheFileParameterBetweenQuotesDoesNotExists;El archivo '{0}' no existe.
TheSelectedFileIsTheSameOneCurrentlyOpen;El archivo seleccionado es el mismo que está abierto en este momento.
TheSelectedFileDoesNotContainAnyReport;El archivo seleccionado no contiene ningún informe.
TheCalendarNeedsADateDimension;El calendario necesita una dimensión de fecha.
TheCalendarRequiresAnyDataToShowInAdditionToTheDate;El calendario requiere algún dato que mostrar a parte de la fecha.
TheCatalogParameterBetweenParenthesesIsBadDefined;El catálogo '{0}' está mal definido.
TheCatalogHasBeenModifiedByAnotherProgramAndHasBeenUpdatedSuccessfully;El catálogo ha sido modificado por otro programa y se ha actualizado con éxito.
TheFunnelChartOnlySupportsOneDimensionAsMaximum;El gráfico de embudo solo admite una dimensión como máximo
TheReportWillBeImportedInAnUnexpectedPlace;El informe se va a importar en un lugar no esperado.
ThePanelNameCannotBeLeftBlank;El nombre del panel no puede dejarse en blanco.
TheDatePickerCanOnlyBeRepresentedWithADateDimensionAndAnIndicator;El selector de fechas solo se puede reprensentar con una dimensión de fechas y un indicador
TheGaugeCanOnlyBeRepresentedWhenThereIsOnlyOneValue;El velocímetro solo se puede representar cuando hay un solo valor
ThisChartRequiresAtLeastOneDimension;Este grafico requiere al menos una dimensión
ThisChartRequiresAnIndicator;Este grafico requiere un indicador
ThisChartOnlyAllowsOneIndicator;Este grafico solo admiten un indicador
ThisChartCanOnlyBeConstructedFromAGrographicalDimensionAndAnIndicator;Este grafico solo se puede construir a partir de una dimensión geografica y un indicador
ThisMapAtMostAcceptsTwoDimensions;Este mapa como mucho acepta 2 dimensiones
ExcludeParameterInThisSheet;Excluir {0} en esta hoja
ExcludeParameterInThisReport;Excluir {0} en este informe
ThereWasAnErrorUpdatingTheChartDevelopersAlreadyNotified;Ha habido un error al actualizar el gráfico. Los desarrolladores ya han sido notificados.
ThereWasAnErrorDrawingTheChartColon;Ha habido un error al dibujar el gráfico:
ThereWasAnErrorDrawingTheChartLabelsColon;Ha habido un error al dibujar las etiquetas del gráfico:
ThereWasAnErrorFinalizingTheChartColon;Ha habido un error al finalizar el gráfico:
ThereAreTooManyArgumentsToRepresentTheChart;Hay demasiados argumentos para representar el gráfico
ReportParameter;Informe {0}
TheSheetParameterHasAlreadyBeenInitialized;La hoja {0} ya ha sido inicializada
ThePivotTableAsMaximumAllowsTwoDimensions;La tabla pivotada como máximo admite dos dimensines
ThePivotTableNeedsAnIndicator;La tabla pivotada necesita un indicador.
ThePivotTableOnlyAllowsOneIndicatorWheItIsShownWithTwoDimensions;La tabla pivotada solo admite un indicador cuando se muestra con dos dimensiones
TheDataOfTheDimensionParameterAreNotDates;Los datos de la dimensión {0} no son fechas
ScatterChartsAtMostAllowThreeIndicatorsInOrderToShowTheXAxysYAxisAndThickness;Los gráficos de dispersión como mucho admiten tres indicadores para mostrar el eje X, el eje Y y el grosor
ScatterChartsNeedAtLeastTwoIndicatorsInOrderToShowTheXAxisAndYAxis;Los gráficos de dispersión necesitan al menos dos indicadores para mostrar en el eje X y en el eje Y
StockChartsNeedOneDimensionAndThreeOrFourIndicators;Los gráficos stock necesitan una dimensión y tres o cuatro indicadores
TheReportsDoNotUseTheSameCatalogs;Los informes no utilizan los mismos catálogos.
PieChartsMapsNeedAtLeastOneIndicator;Los mapas de graficos circulares necesitan al menos un indicador
MapsRequireOneGeographicDimension;Los mapas requieren 1 dimensión geográfica
ItWasNotPossibleToAccessTheDocumentCatalog;No ha sido posible acceder al catálogo del documento.
ItWasNotPossibleToObtainTheCoordinatesListForTheDimensionParameterBetweenQuotes;No ha sido posible obtener el listado de coordenadas para la dimensión '{0}'
ThereIsNotEnoughDataToRepresentAChart;No hay suficientes datos para representar un gráfico
TheAttributeToLinkParameterWithTheMapHasNotBeenSpecifiedInTheCatalog;No se ha especificado en el catálogo el atributo para vincular {0} con el mapa
TheIdFieldToLinkParameterWithMapHasNotBeenSpecifiedInTheCatalog;No se ha especificado en el catálogo el campo id para vincular {0} con el mapa
TheLatitudeFieldHasForParameterHasNotBeenSpecifiedInTheCatalog;No se ha especificado en el catálogo el campo latitud para {0}
TheLengthFieldForPArameterHasNotBeenSpecifiedInTheCatalog;No se ha especificado en el catálogo el campo longitud para {0}
TheMapPathForTheDimensionParameterHasNotBeenSpecifiedInTheCatalog;No se ha especificado en el catalogo la ruta del mapa para la dimensión {0}
CouldNotOpenTheCatalogParameterBetweenQuotes;No se ha podido abrir el catálogo '{0}'.
CouldNotOpenTheDocumentParameterBetweenQuotes;No se ha podido abrir el documento ""{0}""
CouldNotOpenTheDocument;No se ha podido abrir el documento.
CouldNotConnectToTheServer;No se ha podido conectar con el servidor.
CouldNotGenerateTheDashboardContent;No se ha podido generar el contenido del dashboard.
CouldNotGenerateTheMap;No se ha podido generar el mapa.
NoChangesDetected;No se han detectado cambios
ThisViewCannotBeRepresentedBecauseIndicatorReturnsNonNumericalData;No se puede representar esta visualización porque un indicador devuelve datos no numéricos
CannotRepresentAnyKindOfChartWithMoreThanTenThousandRecords;No se puede representar ningún tipo de grafico con más de 10.000 registros
CannotRepresentBarOrPieChartsWithMoreThanThousandRecords;No se pueden representar gráficos de barras o de tartas de más de 1.000 registros.
CannotBeRepresentedMapsWithMoreThanTwoThousandRecords;No se pueden representar mapas de más de 2.000 registros.
NewCalculatedItem;Nuevo elemento calculado
AnErrorOccurredWhileReadingTheFile;Ocurrió un error al leer el archivo.
PropagationToAllPanels;Propagación a todos los paneles
DocumentProperties;Propiedades del documento
ItemProperties;Propiedades del elemento
PathColonParameter;Ruta: {0}
AReportMustBeSelected;Se debe seleccionar un informe.
TheCatalogOfThisDocumentHasBeenUpdatedThisUsuallyOccursWhenChangesOrImprovementsPublishedOnServer;Se ha actualizado el catálogo de este documento.¬ ¬ Esto suele ocurrir cuando se publican cambios o mejoras en el servidor.
TheReferenceToThePanelManagerHasBeenLost;Se ha perdido la referencia al administrador de paneles.
TheReferenceToThePanelControllerHasBeenLost;Se ha perdido la referencia al controlador de paneles.
TheReferenceToThePanelHasBeenLost;Se ha perdido la referencia al panel.
SelectParameterInThisSheet;Seleccionar {0} en esta hoja
SelectParameterInThisReport;Seleccionar {0} en este informe
SelectTheFileFromWhichWantImportTheReport;Seleccione el fichero desde el que se desea importar el informe
SelectTheReportToImport;Seleccione el informe a importar
ServerColonParameter;Servidor: {0}
UndefinedChartType;Tipo de gráfico no definido
NotImplementedPanelType;Tipo de panel no implementado
TypeColonParameter;Tipo: {0}
CustomPopupWindow;Ventana emergente personalizada
Area;Área
SplineArea;Área curvada
StepArea;Área escalonada
Bar;Barra
CleanWhite;Blanco limpio
MagicLight;Claro mágico
FlatLight;Claro plano
Classic;Clásico
DataInputColumn;Columna data input
DbConnection;Conexion DB
Cosmic;Cósmico
Day;Día
WhereToSave;Donde guardar
Echo;Eco
SecondaryYAxis;Eje Y secundario
ManualEntry;Entrada manual
SingleDate;Fecha única
Futuristic;Futurista
QueriesHistory;Historial queries
SheetParameter;Hoja {0}
ImportReport;Importar informe
StartAndEnd;Inicio y fin
Intelligent;Inteligente
IStyle;iStyle
Line;Línea
Spline;Línea curvada
Timeline;Linea de tiempo
StepLine;Línea escalonada
Month;Mes
FlatDark;Oscuro plano
Progressive;Progresivo
SheetProperties;Propiedades hoja
PanelProperties;Propiedades panel
RedClock;Reloj rojo
DropDownSelector;Selector desplegable
Week;Semana
CompleteWeek;Semana completa
Workweek;Semana laboral
WithoutDataInput;Sin data input
WithoutPropagation;Sin propagación
YellowSubmarine;Submarino amarillo
SerieType;Tipo serie
TypeColonCronoServer;Tipo: Crono server
TypeColonDirect;Tipo: Directa
DefaultValue;Valor predeterminado
PopupWindow;Ventana emergente
UserItems;Elementos de usuario
Below;Abajo
BusinessActionsColon;Acciones de negocio:
UpdateReport;Actualizar informe
AllowsDataInputColon;Admite data input:
AdjustWidthAutomatically;Ajustar ancho automáticamente
AtTheEnd;Al final
AtTheBeginning;Al principio
AlternateRowsColor;Alternar color filas
Donut;Anillo
NestedDonuts;Anillos anidados
AnimateGraphic;Animar grafico
StackedAreas;Áreas apiladas
FullStackedAreas;Áreas apiladas completamente
SplineAreas;Áreas curvadas
StepAreas;Áreas escalonada
ArgumentsSwapped;Argumentos intercambiados
DragHereToCreateASheetFilter;Arrastre aquí para crear un filtro de hoja.
Above;Arriba
AdvancedPluralMale;Avanzados
StackedBars;Barras apiladas
FullStackedBars;Barras apiladas completamente
LockQueryParenthesesPreventsAddingRemovingColumnsAndFilters;Bloquear consulta (impide añadir o quitar columnas y filtros)
LockReport;Bloquear informe
DeleteSelection;Borrar selección
ChangeName;Cambiar nombre
Car;Coche
Colors;Colores
MergeCells;Combinar celdas
CustomQueryOfValuesColon;Consulta personalizada de valores:
CopyAsService;Copiar como servicio
CopyData;Copiar datos
LocalDocuments;Documentos locales
DuplicateSheet;Duplicar hoja
DuplicatePanel;Duplicar panel
EditCube;Editar cubo
QueriesEditor;Editor de consultas
DeleteReport;Eliminar informe
Funnel;Embudo
InTheRow;En la fila
ReadOnlyDocumentColon;Es documento de solo lectura:
StyleColon;Estilo:
Stock;Estoc
FilterThisColumnInDependantPanels;Filtrar esta columna en paneles dependientes
SaveToServer;Guardar en el servidor
History;Historial
Sheet;Hoja
HorizontalPlural;Horizontales
ImageParentheses32x32Colon;Imagen (32x32):
DebugInformation;Información debug
ClearQuery;Limpiar consulta
Splines;Líneas curvas
StepLines;Líneas escalonadas
MapUpperCase;MAPA
InputModeColon;Modo de introducción:
PropagationMode;Modo de propagación
PropagationModeToOtherPanelsOfThisSheet;Modo de propagación al resto de paneles de esta hoja:
RepresentationMode;Modo representación
ShowGrouping;Mostrar agrupamiento
ShowColumnHeaders;Mostrar cabeceras de columnas
ShowRowHeaders;Mostrar cabeceras de filas
ShowNavigationControls;Mostrar controles de navegación
ShowCoordinates;Mostrar coordenadas
ShowSearchBox;Mostrar cuadro de busqueda
ShowDetails;Mostrar detalles
ShowScale;Mostrar escala
ShowLabels;Mostrar etiquetas
ShowFilters;Mostrar filtros
ShowLegend;Mostrar leyenda
ShowPositionLines;Mostrar lineas de posición
ShowHorizontalLines;Mostrar lineas horizontales
ShowVerticalLines;Mostrar lineas verticales
ShowPoints;Mostrar puntos
AlwaysShowZero;Mostrar siempre cero
ShowColumnSubtotals;Mostrar subtotales de columna
ShowRowSubtotals;Mostrar subtotales de fila
ShowAllRowsParenthesesShowAllRecordsEvenThoseWithoutData;Mostrar todas las filas (muestra todos los registros, incluso aquellos sin datos)
ShowColumnTotals;Mostrar totales de columna
ShowRowTotals;Mostrar totales de fila
NumberOfColorsColon;Número colores:
NewSheet;Nueva hoja
NumberOfScalesColon;Numero escalas:
OptionsUpperCase;OPCIONES
ColorPalette;Paleta de colores
ChartColorPaletteColon;Paleta de colores de gráfico:
ForEachRow;Para cada fila
Paste;Pegar
AllowAddRecords;Permite añadir registros
AllowDeleteRecords;Permite eliminar registros
AllowChangeTheTableSortingParenthesesToPreventSortingByClickingColumn;Permitir cambiar la ordenación de la tabla (para prevenir la ordenación al hacer click sobre una columna)
AllowFilterTheQueryResultParenthesesHidesOrShowsTheFilterIconThatAppearsLeavingTheCursorOnColumnHeader;Permitir filtrar el resultado de la consulta (oculta o muestra el icono de filtro que sale al dejar el cursor sobre la cabecera de una columna)
AllowReorderTheColumnsParenthesesToPreventUnintentionalModificationOfTheQuery;Permitir reordenar las columnas (para prevenir la modificación involuntaria de la consulta)
AllowHorizontalZoom;Permitir zoom horizontal
AllowVerticalZoom;Permitir zoom vertical
PropagateSelectionToOtherPanels;Propagar selección al resto de paneles
Recents;Recientes
ReturnedRecords;Registros devueltos
MandatorySelectionParenthesesPreventsDependantPanelsFromBeingExecutedUnlessThereIsAnyFieldSelected;Selección obligatoria (impide que se ejecuten paneles dependientes a menos que haya algun campo seleccionado)
DatePicker;Selector fecha
SemiCircular;Semi circular
DynamicTable;Tabla dinámica
PivotTable;Tabla pivotada
SizeProportionalToTheIndicator;Tamaño proporcional al indicador
Cards;Tarjetas
Time;Tiempo
ChartType;Tipo de gráfico
ViewType;Tipo visualización
ColumnSubtotalLocation;Ubicación subtotales de columna
RowSubtotalLocation;Ubicación subtotales de fila
UseComputerConnectionParenthesesIfAvailable;Utilizar conexión de equipo (si está disponible)
MaximumValueColon;Valor máximo:
MinimumValueColon;Valor mínimo:
Candle;Vela
GaugeUpperCase;VELOCÍMETRO
Gauges;Velocimetros
Verticals;Verticales
Visualization;Visualización
FlipColors;Voltear colores
FolderName;Nombre de la carpeta
AcceptChanges;Aceptar cambios
Areas;Áreas
Bars;Barras
Bubbles;Burbujas
Pie;Circular
DataInput;Data input
Scatter;Dispersión
DeleteRow;Eliminar fila
Reports;Informes
Left;Izquierda
Lines;Líneas
Map;Mapa
Points;Puntos
Circular;Circular
ThisReportDoesNotHasCatalogSpecifyTheCatalogInOrderToUseTheReport;Este informe no tiene catálogo. Especifique el catálogo para poder utilizar el informe.
ShowSheets;Mostrar hojas
HideSheets;Ocultar hojas
CurrentlyOnlyUniqueProjectsAreSupportedTwo;Actualmente solo se soportan proyectos únicos.2
SomethingIsNotRightParameterBetweenParentheses;Algo no está bien ({0}).
SomethingWentWrongParameterBetweenParenthesesParameterBetweenParentheses;Algo no ha ido bien ({0})({1}).
ApplyingTemplateToTheTestFile;Aplicando plantilla al fichero de test
LoadingCssElipsis;Cargando css...
LoadingJsElipsis;Cargando js...
