_New	Nou
ConnectionColon	Connexió:
DiscardChanges	Descarta els canvis
Disabled	Desactivat
ExecutingElipsis	Executant ...
Environment	Entorn
ListOfValues	Llista de valors
ListOfValuesColon	Llista de valors:
EditConnection	Modificar connexió
FullNameColon	Nom complet:
ServerColon	Servidor:
DataTypeColon	Tipus de dada:
ParenthesesWithoutProxy	(Sense proxy)
Activated	Activat
UpdateList	Actualitzar llista
AdvancedPluralFemale	Avançades
BackgroundColorColon	Color de fons:
QueriesColon	Consultes:
PasswordLocalizedColon	Clau:
EmailColon	Correu electrònic:
Design	Disseny
CompanyColon	Empresa:
ExpressionColon	Expressió:
FormulaColon	Fórmula:
Save	Desar
ReadAndWrite	Lectura i escriptura
Message	Missatge
EditServer	Modificar servidor
SourceColon	De:
Path	Ruta
SelectSeveral	Seleccionar diversos
TextColon	Text:
Type	Tipus
FormatType	Tipus format
ValueColon	Valor:
CheckConnection	Verificar connexió
ParenthesesRestOfEurope	(Resta d'Europa)
ParenthesesRestOfTheWorld	(Resta de l'món)
AnonymousAccess	Accés anònim.
About	Sobre
AttachedColon	Adjunt:
Germany	Alemanya
AmazonS3	Amazon S3
Andorra	Andorra
Argentina	Argentina
Australia	Austràlia
Austria	Àustria
SqlAuthentication	Autenticació SQL
Belgium	Bèlgica
Bolivia	Bolívia
Brazil	Brasil
Bulgaria	Bulgària
Search	Cercar
ConnectionStringColon	Cadena de connexió:
Calculator	Calculadora
CalendarColon	Calendari:
ChangesInTheCloud	Canvis en el núvol
Canada	Canadà
Loading	Carregant
CubeFolderColon	Carpeta de cubs:
FolderColon	Carpeta:
GitFolders	Carpetes GIT
LocalCatalog	Catàleg local
CatalogColon	Catàleg:
Catalogs	Catàlegs
RecentCatalogsColon	Catàlegs recents:
Chile	Xile
China	Xina
Cyprus	Xipre
CityColon	Ciutat:
AccessKey	Clau d'accés
Colombia	Colòmbia
Column	Columna
Check	Comprovar
Granted	Concedit
ComputerConnection	Connexió d'equip
ComputerConnections	Connexions d'equip
ConnectionsColon	Connexions:
ContainsNulls	Conté nuls
CopyText	Copiar text
CostaRica	Costa Rica
CreateDatabase	Crear base de dades
AmazonCredentials	Credencials Amazon
EmailCredentials	Credencials correu
GitCredentials	Credencials de GIT
NetworkCredentials	Credencials de xarxa
Cuba	Cuba
Cube	Cub
Cubes	Cubs
LocalCubesColon	Cubells locals:
Denied	Denegat
Deny	Denegar
DownloadColon	Descàrrega:
_Stop	Aturar
Denmark	Dinamarca
UrlAddressColon	Direcció Url:
AddressColon	Direcció:
DomainColon	Domini:
Ecuador	Equador
EditManually	Edita manualment
ExecutingActions	Executant accions
ElSalvador	El Salvador
BusinessItemColon	Element de negoci:
RemoveFromTheList	Elimina de la llista
DeleteFilter	Eliminar filtre
Awaiting	En espera
_Error	Error
Spain	Espanya
UnitedStates	Estats Units
Style	Estil
TokenDateColon	Data token:
Fetch	Fetch
Philippines	Filipines
FilterCatalogColon	Filtrar catàleg:
AdvancedFilter	Filtre avançat
CombinedFilterColon	Filtre combinat:
AdvancedFormula	Fórmula avançada
France	França
Generic	Generica
Gibraltar	Gibraltar
Greece	Grècia
GroupsColon	Grups:
SaveAs	Desa
SaveInTheCloud	Guardar en el núvol
SaveLocally	Guardar a local
Guatemala	Guatemala
Guinea	Guinea
EquatorialGuinea	Guinea Equatorial
Haiti	Haití
Inherited	Heretat
Honduras	Hondures
Identification	Identificació
AvailableLanguagesColon	Idiomes disponibles:
India	Índia
Ireland	Irlanda
Israel	Israel
Italy	Itàlia
Japan	Japó
Read	Lectura
LimitResult	Limitar resultat
LimitColon	Límit:
Clear	Netejar
ClearColumns	Netejar columnes
Morocco	Marroc
MessageColon	Missatge:
Messages	Missatges
Mexico	Mèxic
ThankYouSoMuch	Moltes gràcies
SampleColon	Mostra:
Nicaragua	Nicaragua
ConnectionName	Nom connexió
KeyNameColon	Nom de l'Key:
BucketNameColon	Nom de l'bucket:
Norway	Noruega
NewConnection	Nova connexió
NewParameter	Nou paràmetre
LicenseNumberColon	Número de llicència:
AdvancedOptions	Opcions avançades
AdvancedOperators	Operadors avançats
SortResult	Ordenar resultat
OrganizationColon	Organització:
CountryColon	País:
Netherlands	Països Baixos
Panama	Panamà
Paraguay	Paraguai
CalculatedParameter	Paràmetre calculat
UserParameter	Paràmetre d'usuari
ParameterColon	Paràmetre:
Pending	Pendent
PermissionsColon	Permisos:
ContactPersonColon	Persona de contacte:
Peru	Perú
PleaseWait	Si us plau.
Portugal	Portugal
GitProjectsColon	Projectes git:
PropertiesColon	Propietats:
ProxyColon	Proxy:
PuertoRico	Port Ric
PortColon	Port:
Pull	Pull
Push	Push
Refresh	Refrescar
RegionColon	Regió:
Register	Registrar
RegisterProduct	Registrar producte
UnitedKingdom	Regne Unit
DominicanRepublic	República Dominicana
Russia	Rússia
SecretKeyColon	Secret Key:
MultipleSelection	Selecció múltiple
SimpleSelection	Selecció simple
SelectAll	Seleccionar tots
CronoServer	Servidor crono
LocalServerColon	Servidor local:
SierraLeone	Serra Leone
_ReadOnly	Només lectura
Support	Suport
SqlServer	SQL Server
SouthAfrica	Sud-àfrica
Sweden	Suècia
Switzerland	Suïssa
Substitutions	Substitucions
AccessTypeColon	Tipus d'accés:
TokenColon	Token:
JobsColon	Treballs:
Turkey	Turquia
CurrentLocationColon	Lloc actual:
Uruguay	Uruguai
UsernameColonNotLocalized	Username:
UserOrGroupColon	Usuari o grup:
UsersColon	Usuaris:
DefaultValueColon	Valor per defecte:
Venezuela	Veneçuela
ShowDifferences	Veure diferències
ShowDetailedError	Veure error detallat
ShowReport	Veure informe
ShowExecutionLog	Veure log d'execució
ExpectedVersion	Versió esperada
VersionColon	Versió:
SupportWebColon	Web de suport:
AndUpperCase	I
NewBusinessItem	Nou element de negoci
ThereWasAnErrorDuringObjectVerification	Hi ha hagut un error durant la verificació de l'objecte.
NewFolder	Nova carpeta
NewItem	Nou element
Right	Dreta
Document	Document
EditReport	Edita informe
AwaitingElipsis	Esperant ...
Browse	Navega
EndDate	Data fi
StartDate	Data inici
Filters	Filtres
Parameters	Paràmetres
ForeignKeys	Claus externes
Views	Vistes
TimeElapsedColon	Temps transcorregut:
AuthorColon	Autor:
TitleColon	Títol:
NewQuery	Nova consulta
Publish	Publicar
AskEnsureWantPublishThisDocumentPublicationLocationColonParameterTheDocumentWillBeSavedBeforePublishing	Esteu segur que voleu publicar aquest document?||Ubicació de publicació:|{0}||El document es guardarà abans de publicar.
CreatingMainWindow	Creant MainWindow
AskWantDeleteAllSelectedBusinessItems	Voleu eliminar tots els elements de negoci seleccionats?
ReportProperties	Propietats d'informe
TheCatalogPathCannotBeLeftBlank	La ruta de l'catàleg no es pot deixar en blanc
DefaultCredentials	Credencials predeterminades
TheUserIsNotDefined	L'usuari no està definit
UpdatingElipsis	Actualitzant ...
CurrentlyItIsNotPossibleToModifyDefaultIconsOfConditionalFormatsThisConditionalFormatMustBeDeletedIntColumnParameterBetweenParenthesesInOrderToSaveThisDocument	Actualment no és possible modificar les icones per defecte dels formats condicionals.||S'ha d'eliminar aquest format condicional a la columna '{0}' per poder guardar aquest document.
TheFileDoesNotExists	El fitxer no existeix
ThisVersionIsTooOldConsultWithYourSystemAdministratorToInstallANewerVersionOfCrono	Aquesta versió és massa antiga. Consulteu amb l'administrador de sistema per instal·lar una versió més recent de Crono.
FiltersOfThisSheet	Filtres d'aquest full
WeCannotSaveParameterBetweenQuotesBecauseTheFileIsReadOnlyInOrderToSaveChangesSaveReportWithNewNameInDifferentLocation	No podem guardar '{0}' perquè l'arxiu és de només lectura.||Per desar els canvis, guardi l'informe amb un nou nom a un lloc diferent.
FileUpperCase	ARXIU
OpenLocation	Obre la ubicació
NewSite	Nou lloc
ShowLog	Veure registre
NewReport	Nou informe
InterfaceLanguageColon	Idioma de la interfície:
Application	Aplicació
IfFindErrorsInAnyTranslationHelpUsByWritingUsToInfoCronoDotNet	Si troba errors en alguna de les traduccions ajudi'ns escrivint-nos a info@crono.net
TestServer	Provar servidor
ThereAreUnsavedChangesAskEnsureWantCloseAndLoseChanges	Hi ha canvis sense desar, Està segur que desitja tancar i perdre els canvis realitzats?
Rename	Canviar el nom
CopyResult	Copia resultat
ShowSql	Veure SQL
Result	Resultat
CopySql	Copia SQL
UsernameColon	Nom d'usuari:
VariableNameColon	Nom de la variable:
SmtpServerColon	Servidor SMTP:
EnableSsl	Habilitar SSL.
SenderEmailBetweenParenthesesColon	Remitent (correu electrònic):
SenderNameBetweenParenthesesColon	Remitent (nom):
VariableValueColon	Valor de la variable:
TestingSmtpServer	Provant servidor SMTP
AskSaveChangesOfParameterBetweenQuotes	Voleu desar els canvis de '{0}'?
CopyAllTablesNames	Copia nom de totes les taules
ParameterRows	{0: N0} files
ParameterColumns	{0: N0} columnes
CopyTablesNames	Copiar nom de les taules
CopyFieldsNames	Copia nom dels camps
AnUnexpectedErrorOccurredDuringConnectionStringCreation	Hi ha hagut un error imprevist a l'generar la cadena de connexió.
Display	Mostra
YouMustSpecifyAValidNameForThisVariable	Cal especificar un nom vàlid per a aquesta variable.
AVariableWithThisNameAlreadyExists	Ja existeix una variable amb aquest mateix nom.
SaveAll	Desar tot
ParameterReadonlyBetweenSquareBrackets	{0} [només lectura]
ExecuteAll	Executar tot
Authorizations	Autoritzacions
CollapseAll	Col·lapsar tot
CollapseChildren	Col·lapsar fills
ManageAuthorizations	Administrar autoritzacions
ManageFolderAuthorizations	Administrar autoritzacions de la carpeta
ConvertToWebFolder	Convertir a carpeta web
CronoServerParameterHasBeenInstalledSuccessfully	Crono Server {0} s'ha instal · lat correctament
YouMustSpecifyTheServerName	Cal especificar el nom de servidor
ErrorInstallingCronoServer	Error a l'instal·lar Crono Server
InstallingCronoServer	Instal·lant Crono Server
TheSpecifiedServerUrlIsNotValid	L'URL de servidor especificada no és vàlida
ServerProperties	Propietats de l'servidor
SelectCronoServerFolder	Seleccioneu carpeta d'crono server
SelectTheVersionToInstall	Seleccioneu la versió a instal·lar
ManagingAuthorizationsForTheDirectoryColon	Administrant autoritzacions per al directori:
ManageConnections	Admninistrar connexions
LogDatabase	Base de dades de log
LogDatabaseColon	Base de dades de log:
ConfigurationFolderColon	Carpeta de configuració:
ContentFolderColon	Carpeta de contingut:
ServerFolderParenthesesIisApplicationColon	Carpeta de servidor (aplicació IIS):
CheckStatus	Comprovar estat
CheckTheDatabaseStructure	Comprovar l'estructura de la base de dades
Content	Contingut
TheServerIsWorkingCorrectly	El servidor està funcionant correctament.
GoogleClientIdColon	Google ID client:
GoogleClientSecretColon	Google secret client:
ServerInformation	Informació de l'servidor
AuthenticationModeColon	Mode d'autenticació:
CannotConnectToTheServerColon	No és possible connectar amb el servidor:
RequestCount	Nombre de peticions
InheritedPermissions	Permisos heretats
RecordCronoServerActivityInALogDatabase	Registrar en una base de dades de log l'activitat de Crono Server.
ActivityLog	Registre d'activitat
LastConnection	Darrera connexió
ServerUrlColon	Url de servidor:
User	Usuari
UserOrGroup	Usuari o grup
ConnectedUsers	Usuaris connectats
InstalledVersionColon	Versió instal·lada:
NewGroup	Nou grup
TheHostHasNoAValidFormatTheSpacesAndCharactersColonBarAreNotAllowed	El host no té un format vàlid, els espais i els caràcters ': /' no estan admesos.
TheSelectedSiteIsAlreadyInTheList	El site seleccionat ja és a la llista
NoUserOrGroupHasBeenSelected	No s'ha assignat un usuari o grup.
NewUser	Nou usuari
SiteProperties	Propietats de el lloc
TheUserNameMustBeEntered	S'ha d'introduir el nom d'usuari
SelectTheSiteFolder	Seleccioneu la carpeta de el lloc
IfYouSelectThisOPtionServerWillRespondAllRequestAccordingTheFirstSiteWithoutValidatingHostOrAuthentication	Seleccionar això per al servidor respondrà totes les peticions segons el primer ' site ', sense validar ni el ' host ' ni l'autenticació.
AutoRouteCronoXmlFilesCxmlBetweenParentheses	Autoenrutar arxius Crono XML (* .cxml)
AutoRouteMarkdownFilesMdBetweenParentheses	Autoenrutar arxius Markdown (* .md)
StartDocumentColon	Document d'inici:
IsADevelopementServerLocalhostBetweenParentheses	És un servidor de desenvolupament (localhost)
Enabled	Habilitat
EditSite	Modificar lloc
RouteColon	Ruta:
Sites	Llocs
SitesColon	Llocs:
UsersAndGroups	Usuaris i grups
ParameterAskWantToSelectANewPath	{0}|Voleu seleccionar una nova ruta?
ErrorInsertingDataColonParameterParameter	Error a l'inserir dades:|{0}
TheQueryOfDatainputValuesIsNotCorrectParameter	La consulta de valors de datainput no és correcta||{0}
ThePanelWillBeOverwrittenAskWantContinue	Es va a sobreescriure el panell.||Voleu continuar?
TitleBetweenHyphensExecutionUpperCase	----------------- EXECUCIÓ -----------------
DoubleHyphenEndTimeColonParameter	- Hora de finalització: {0}
DoubleHyphenStartTimeColonParameter	- Hora d'inici: {0}
DoubleHyphenNumberOfRecordsColonParameter	- Nombre de registres: {0}
DoubleHyphenTotalTimeColonParameterSeconds	- Temps total: {0: N2} segons
ParameterPerhapsBeingUsedByAnotherProgram	{0} Potser estigui utilitzant un altre programa.
ParameterPerhapsHasBeenMoverOrDeleted	{0} Potser ha estat mogut o eliminat.
ParameterNotDefined	{0} no definit.
AskWantDeleteTheReportParameterBetweenQuotes	Voleu esborrar l'informe '{0}'?
AskWantToDeleteTheFolderParameterBetweenQuotesAndAllItsContents	Voleu esborrar la carpeta '{0}' i tot el seu contingut?
AskEnsureWantDeleteThisSheet	Esteu segur que voleu suprimir aquest full?
AskEnsureWantDeleteThisPanel	Esteu segur que voleu suprimir aquest panell?
DashboardOpeningDiscarded	Obertura de dashboard descartada
EndActionExecutedSuccessfully	Acció a la fin executada correctament
InitialActionExecutedSuccessfully	Acció a el principi executada correctament
ActionExecutedSuccessfully	Acció executada correctament.
EachRowActionExecutedSuccessfully	Acció per a cada fila executada correctament
ReportManager	Administrador d'informes
WpfApplicationLoaded	Aplicació WPF carregada
AuthenticationColonWindows	Autentificació: Windows
ApplicationLoadCompleted	Càrrega aplicació completada
RemoteCatalogInnaccesibleParameterBetweenParenthesesCheckInternetConnectionAndRemoteCatalogAddress	Catàleg remot inaccessible ({0}). Verifica la connexió a internet i la direcció remota de l'catàleg.
CreateDocumentWithCatalogParameterBetweenQuotes	Crear un document amb el catàleg ' {0} '
NetworkCredentialsColonParameter	Credencials de xarxa: {0}
NetworkCredentialsColonNotSpecified	Credencials de xarxa: No especificades
CronoServerInfoConnectedUserColonParameter	Crono server (info), Connected user: {0}
CronoServerInfoIisUserDomainNameColonParameter	Crono server (info), IIS user domain name: {0}
CronoServerInfoServerDomainNameColonParameter	Crono server (info), Server domain name: {0}
WhenTwoDimensionsPieChartMapsOnlySupportsOneIndicator	Quan hi ha 2 dimensions, els mapes de gràfics circulars només admeten gener indicador
FromLeftToRight	D'esquerra a dreta
YouMustChooseTheNameOfTheReport	Ha d'escollir el nom de l'informe
DomainColonParameter	Domini: {0}
TheFileParameterBetweenQuotesDoesNotExists	El fitxer '{0}' no existeix.
TheSelectedFileIsTheSameOneCurrentlyOpen	L'arxiu seleccionat és el mateix que està obert en aquest moment.
TheSelectedFileDoesNotContainAnyReport	L'arxiu seleccionat no conté cap informe.
TheCalendarNeedsADateDimension	El calendari necessita una dimensió de data.
TheCalendarRequiresAnyDataToShowInAdditionToTheDate	El calendari requereix alguna dada de mostrar a part de la data.
TheCatalogParameterBetweenParenthesesIsBadDefined	El catàleg '{0}' està mal definit.
TheCatalogHasBeenModifiedByAnotherProgramAndHasBeenUpdatedSuccessfully	El catàleg ha estat modificat per un altre programa i s'ha actualitzat amb èxit.
TheFunnelChartOnlySupportsOneDimensionAsMaximum	El gràfic d'embut només admet una dimensió com a màxim
TheReportWillBeImportedInAnUnexpectedPlace	L'informe es va a importar en un lloc no esperat.
ThePanelNameCannotBeLeftBlank	El nom de el panell no pot deixar-se en blanc.
TheDatePickerCanOnlyBeRepresentedWithADateDimensionAndAnIndicator	El selector de dates només es pot reprensentar amb una dimensió de dates i un indicador
TheGaugeCanOnlyBeRepresentedWhenThereIsOnlyOneValue	El velocímetre només es pot representar quan hi ha un sol valor
ThisChartRequiresAtLeastOneDimension	Aquest gràfic requereix al menys una dimensió
ThisChartRequiresAnIndicator	Aquest gràfic requereix un indicador
ThisChartOnlyAllowsOneIndicator	Aquest gràfic només admeten un indicador
ThisChartCanOnlyBeConstructedFromAGrographicalDimensionAndAnIndicator	Aquest gràfic només es pot construir a partir d'una dimensió geogràfica i un indicador
ThisMapAtMostAcceptsTwoDimensions	Aquest mapa com a molt accepta 2 dimensions
ExcludeParameterInThisSheet	Excloure {0} en aquest full
ExcludeParameterInThisReport	Excloure {0} en aquest informe
ThereWasAnErrorUpdatingTheChartDevelopersAlreadyNotified	Hi ha hagut un error a l'actualitzar el gràfic. Els desenvolupadors ja han estat notificats.
ThereWasAnErrorDrawingTheChartColon	Hi ha hagut un error a l'dibuixar el gràfic:
ThereWasAnErrorDrawingTheChartLabelsColon	Hi ha hagut un error a l'dibuixar les etiquetes de l'gràfic:
ThereWasAnErrorFinalizingTheChartColon	Hi ha hagut un error a l'finalitzar el gràfic:
ThereAreTooManyArgumentsToRepresentTheChart	Hi ha massa arguments per a representar el gràfic
ReportParameter	Informe {0}
TheSheetParameterHasAlreadyBeenInitialized	El full {0} ja ha estat inicialitzada
ThePivotTableAsMaximumAllowsTwoDimensions	La taula pivotada com a màxim admet dues dimensines
ThePivotTableNeedsAnIndicator	La taula pivotada necessita un indicador.
ThePivotTableOnlyAllowsOneIndicatorWheItIsShownWithTwoDimensions	La taula pivotada només admet un indicador quan es mostra amb dues dimensions
TheDataOfTheDimensionParameterAreNotDates	Les dades de la dimensió {0} no són dates
ScatterChartsAtMostAllowThreeIndicatorsInOrderToShowTheXAxysYAxisAndThickness	Els gràfics de dispersió com a molt admeten tres indicadors per mostrar l'eix X, l'eix Y i el gruix
ScatterChartsNeedAtLeastTwoIndicatorsInOrderToShowTheXAxisAndYAxis	Els gràfics de dispersió necessiten al menys dos indicadors per mostrar en l'eix X i en l'eix Y
StockChartsNeedOneDimensionAndThreeOrFourIndicators	Els gràfics estoc necessiten una dimensió i tres o quatre indicadors
TheReportsDoNotUseTheSameCatalogs	Els informes no utilitzen els mateixos catàlegs.
PieChartsMapsNeedAtLeastOneIndicator	Els mapes de gràfics circulars necessiten al menys un indicador
MapsRequireOneGeographicDimension	Els mapes requereixen gener dimensió geogràfica
ItWasNotPossibleToAccessTheDocumentCatalog	No ha estat possible accedir a el catàleg de el document.
ItWasNotPossibleToObtainTheCoordinatesListForTheDimensionParameterBetweenQuotes	No ha estat possible obtenir el llistat de coordenades per a la dimensió '{0}'
ThereIsNotEnoughDataToRepresentAChart	No hi ha prou dades per representar un gràfic
TheAttributeToLinkParameterWithTheMapHasNotBeenSpecifiedInTheCatalog	No s'ha especificat en el catàleg l'atribut per vincular {0} amb el mapa
TheIdFieldToLinkParameterWithMapHasNotBeenSpecifiedInTheCatalog	No s'ha especificat en el catàleg el camp id per vincular {0} amb el mapa
TheLatitudeFieldHasForParameterHasNotBeenSpecifiedInTheCatalog	No s'ha especificat en el catàleg el camp latitud per {0}
TheLengthFieldForPArameterHasNotBeenSpecifiedInTheCatalog	No s'ha especificat en el catàleg el camp longitud per {0}
TheMapPathForTheDimensionParameterHasNotBeenSpecifiedInTheCatalog	No s'ha especificat en el catàleg la ruta d'el mapa per la dimensió {0}
CouldNotOpenTheCatalogParameterBetweenQuotes	No s'ha pogut obrir el catàleg '{0}'.
CouldNotOpenTheDocumentParameterBetweenQuotes	No s'ha pogut obrir el document ' {0} '
CouldNotOpenTheDocument	No s'ha pogut obrir el document.
CouldNotConnectToTheServer	No s'ha pogut connectar amb el servidor.
CouldNotGenerateTheDashboardContent	No s'ha pogut generar el contingut de l'dashboard.
CouldNotGenerateTheMap	No s'ha pogut generar el mapa.
NoChangesDetected	No s'han detectat canvis
ThisViewCannotBeRepresentedBecauseIndicatorReturnsNonNumericalData	No es pot representar aquesta visualització perquè un indicador retorna dades no numèrics
CannotRepresentAnyKindOfChartWithMoreThanTenThousandRecords	No es pot representar cap tipus de gràfic amb més de 10.000 registres
CannotRepresentBarOrPieChartsWithMoreThanThousandRecords	No es poden representar gràfics de barres o de pastissos de més de 1.000 registres.
CannotBeRepresentedMapsWithMoreThanTwoThousandRecords	No es poden representar mapes de més de 2.000 registres.
NewCalculatedItem	Nou element calculat
AnErrorOccurredWhileReadingTheFile	S'ha produït un error a l'llegir l'arxiu.
PropagationToAllPanels	Propagació a tots els panells
DocumentProperties	Propietats de el document
ItemProperties	Propietats de l'element
PathColonParameter	Ruta: {0}
AReportMustBeSelected	S'ha de seleccionar un informe.
TheCatalogOfThisDocumentHasBeenUpdatedThisUsuallyOccursWhenChangesOrImprovementsPublishedOnServer	S'ha actualitzat el catàleg d'aquest documento.¬ ¬ Això sol passar quan es publiquen canvis o millores en el servidor.
TheReferenceToThePanelManagerHasBeenLost	S'ha perdut la referència a l'administrador de panells.
TheReferenceToThePanelControllerHasBeenLost	S'ha perdut la referència a el controlador de panells.
TheReferenceToThePanelHasBeenLost	S'ha perdut la referència a el panell.
SelectParameterInThisSheet	Seleccionar {0} en aquest full
SelectParameterInThisReport	Seleccionar {0} en aquest informe
SelectTheFileFromWhichWantImportTheReport	Seleccioneu el fitxer des del qual es desitja importar l'informe
SelectTheReportToImport	Seleccioneu l'informe a importar
ServerColonParameter	Servidor: {0}
UndefinedChartType	Tipus de gràfic no definit
NotImplementedPanelType	Tipus de panell no implementat
TypeColonParameter	Tipus: {0}
CustomPopupWindow	Finestra emergent personalitzada
Area	Àrea
SplineArea	Àrea corbada
StepArea	Àrea esglaonada
Bar	Barra
CleanWhite	Blanc net
MagicLight	És clar màgic
FlatLight	És clar pla
Classic	Clàssic
DataInputColumn	Columna data input
DbConnection	Connexió DB
Cosmic	Còsmic
Day	Dia
WhereToSave	On guardar
Echo	Eco
SecondaryYAxis	Eix I secundari
ManualEntry	Entrada manual
SingleDate	Data única
Futuristic	Futurista
QueriesHistory	Històric queries
SheetParameter	Full {0}
ImportReport	Importa informe
StartAndEnd	Inici i fi
Intelligent	Intel·ligent
IStyle	iStyle
Line	Línia
Spline	Línia corbada
Timeline	Línia de temps
StepLine	Línia esglaonada
Month	Mes
FlatDark	Fosc pla
Progressive	Progressiu
SheetProperties	Propietats full
PanelProperties	Propietats panell
RedClock	Rellotge vermell
DropDownSelector	Selector desplegable
Week	Setmana
CompleteWeek	Setmana completa
Workweek	Setmana laboral
WithoutDataInput	Sense data input
WithoutPropagation	Sense propagació
YellowSubmarine	Submarí groc
SerieType	Tipus sèrie
TypeColonCronoServer	Tipus: Crono server
TypeColonDirect	Tipus: directa
DefaultValue	Per defecte
PopupWindow	Finestra emergent
UserItems	Elements d'usuari
Below	A baix
BusinessActionsColon	Accions de negoci:
UpdateReport	Actualitzar informe
AllowsDataInputColon	Admet data input:
AdjustWidthAutomatically	Ajustar ample automàticament
AtTheEnd	A la fin
AtTheBeginning	A el principi
AlternateRowsColor	Alternar color files
Donut	Anell
NestedDonuts	Anells niats
AnimateGraphic	Animar gràfic
StackedAreas	Àrees apilades
FullStackedAreas	Àrees apilades completament
SplineAreas	Àrees corbades
StepAreas	Àrees esglaonada
ArgumentsSwapped	Arguments intercanviats
DragHereToCreateASheetFilter	Arrossegueu fins aquí per crear un filtre de fulla.
Above	A dalt
AdvancedPluralMale	Avançats
StackedBars	Barres apilades
FullStackedBars	Barres apilades completament
LockQueryParenthesesPreventsAddingRemovingColumnsAndFilters	Bloquejar consulta (impedeix afegir o treure columnes i filtres)
LockReport	Bloquejar informe
DeleteSelection	Esborrar selecció
ChangeName	Canviar nom
Car	Cotxe
Colors	Colors
MergeCells	Combinar cel·les
CustomQueryOfValuesColon	Consulta personalitzada de valors:
CopyAsService	Copia com a servei
CopyData	Copiar dades
LocalDocuments	Documents locals
DuplicateSheet	Duplicar full
DuplicatePanel	Duplicar panell
EditCube	Edita cub
QueriesEditor	Editor de consultes
DeleteReport	Eliminar informe
Funnel	Embut
InTheRow	A la fila
ReadOnlyDocumentColon	És document de sol lectura:
StyleColon	Estil:
Stock	Estoc
FilterThisColumnInDependantPanels	Filtrar aquesta columna en panells dependents
SaveToServer	Desa al servidor
History	Històric
Sheet	Full
HorizontalPlural	Horitzontals
ImageParentheses32x32Colon	Imatge (32x32):
DebugInformation	Informació debug
ClearQuery	Netejar consulta
Splines	Línies corbes
StepLines	Línies escalonades
MapUpperCase	MAPA
InputModeColon	Mode d'introducció:
PropagationMode	Mode de propagació
PropagationModeToOtherPanelsOfThisSheet	Mode de propagació a la resta de panells d'aquest full:
RepresentationMode	Mode representació
ShowGrouping	Mostra agrupament
ShowColumnHeaders	Mostra capçaleres de columnes
ShowRowHeaders	Mostra capçaleres de files
ShowNavigationControls	Mostra els controls de navegació
ShowCoordinates	Mostra coordenades
ShowSearchBox	Mostra quadre de cerca
ShowDetails	Mostra els detalls
ShowScale	Mostra escala
ShowLabels	Mostra etiquetes
ShowFilters	Mostra filtres
ShowLegend	Mostra llegenda
ShowPositionLines	Mostra línies de posició
ShowHorizontalLines	Mostra línies horitzontals
ShowVerticalLines	Mostra línies verticals
ShowPoints	Mostra punts
AlwaysShowZero	Mostra sempre zero
ShowColumnSubtotals	Mostra subtotals de columna
ShowRowSubtotals	Mostra subtotals de fila
ShowAllRowsParenthesesShowAllRecordsEvenThoseWithoutData	Mostra totes les files (mostra tots els registres, fins i tot aquells sense dades)
ShowColumnTotals	Mostra totals de columna
ShowRowTotals	Mostra totals de fila
NumberOfColorsColon	Nombre colors:
NewSheet	Nou full
NumberOfScalesColon	Nombre escales:
OptionsUpperCase	OPCIONS
ColorPalette	Paleta de colors
ChartColorPaletteColon	Paleta de colors de gràfic:
ForEachRow	Per a cada fila
Paste	Enganxa
AllowAddRecords	Permet afegir registres
AllowDeleteRecords	Permet eliminar registres
AllowChangeTheTableSortingParenthesesToPreventSortingByClickingColumn	Permetre canviar l'ordenació de la taula (per prevenir l'ordenació a l'fer clic sobre una columna)
AllowFilterTheQueryResultParenthesesHidesOrShowsTheFilterIconThatAppearsLeavingTheCursorOnColumnHeader	Permetre filtrar el resultat de la consulta (oculta o mostra la icona de filtre que surt a deixar el cursor sobre la capçalera d'una columna)
AllowReorderTheColumnsParenthesesToPreventUnintentionalModificationOfTheQuery	Permetre reordenar les columnes (per prevenir la modificació involuntària de la consulta)
AllowHorizontalZoom	Permetre zoom horitzontal
AllowVerticalZoom	Permetre zoom vertical
PropagateSelectionToOtherPanels	Propagar selecció a la resta de panells
Recents	Recents
ReturnedRecords	Registres retornats
MandatorySelectionParenthesesPreventsDependantPanelsFromBeingExecutedUnlessThereIsAnyFieldSelected	Selecció obligatòria (impedeix que s'executin panells dependents llevat que hi hagi algun camp seleccionat)
DatePicker	Selector data
SemiCircular	Semi circular
DynamicTable	Taula dinàmica
PivotTable	Taula pivotada
SizeProportionalToTheIndicator	Mida proporcional a l'indicador
Cards	Targetes
Time	Temps
ChartType	Tipus de gràfic
ViewType	Tipus visualització
ColumnSubtotalLocation	Ubicació subtotals de columna
RowSubtotalLocation	Ubicació subtotals de fila
UseComputerConnectionParenthesesIfAvailable	Utilitzar connexió d'equip (si està disponible)
MaximumValueColon	Valor màxim:
MinimumValueColon	Valor mínim:
Candle	Vela
GaugeUpperCase	Velocímetre
Gauges	Velocímetres
Verticals	Verticals
Visualization	Visualització
FlipColors	Voltejar colors
FolderName	Nom de la carpeta
AcceptChanges	Acceptar canvis
Areas	Àrees
Bars	Barres
Bubbles	Bombolles
Pie	Circular
DataInput	Data input
Scatter	Dispersió
DeleteRow	Eliminar fila
Reports	Informes
Left	Esquerra
Lines	Línies
Map	Mapa
Points	Punts
Circular	Circular
