_New;Novo
Andorra;Andorra
Argentina;Argentina
Australia;Austrália
Austria;Áustria
SqlAuthentication;Autenticação SQL
Belgium;Bélgica
Bolivia;Bolívia
Brazil;Brasil
Bulgaria;Bulgária
Search;Pesquisar
ConnectionStringColon;Cadeia de conexão:
Calculator;Calculadora
CalendarColon;Calendário:
ChangesInTheCloud;Mudanças na nuvem
Canada;Canadá
Loading;A carregar
CubeFolderColon;Pasta cubo:
FolderColon;Pasta:
GitFolders;Pastas GIT
LocalCatalog;Catálogo local
CatalogColon;Catálogo:
Catalogs;Catálogos
RecentCatalogsColon;Catálogos recentes:
Chile;Pimentão
China;China
Cyprus;Chipre
CityColon;Cidade:
AccessKey;Chave de acesso
Colombia;Colômbia
Column;Coluna
Check;Verifique
Granted;Concedido
ComputerConnection;Conexão do equipamento
ComputerConnections;Conexões de equipamentos
ConnectionsColon;Conexões:
ContainsNulls;Contém nulos
CopyText;Copiar texto
CostaRica;Costa Rica
CreateDatabase;Criar banco de dados
AmazonCredentials;Credenciais da Amazon
EmailCredentials;Credenciais de correio
GitCredentials;Credenciais GIT
NetworkCredentials;Credenciais de rede
Cuba;Cuba
Cube;Balde
Cubes;Cubos
LocalCubesColon;Cubos locais:
Denied;Negado
Deny;Negar
DownloadColon;Baixar:
_Stop;Parar
Denmark;Dinamarca
UrlAddressColon;Endereço do URL:
AddressColon;Endereço:
DomainColon;Domínio:
Ecuador;Equador
EditManually;Edite manualmente
ExecutingActions;Executando ações
ElSalvador;O salvador
BusinessItemColon;Elemento comercial:
RemoveFromTheList;Remover da lista
DeleteFilter;Remover filtro
Awaiting;Em espera
_Error;Erro
Spain;Espanha
UnitedStates;Estados Unidos
Style;Estilo
TokenDateColon;Data do token:
Fetch;Buscar
Philippines;Filipinas
FilterCatalogColon;Catálogo de filtros:
AdvancedFilter;Filtro avançado
CombinedFilterColon;Filtro combinado:
AdvancedFormula;Fórmula avançada
France;França
Generic;Genérico
Gibraltar;Gibraltar
Greece;Grécia
GroupsColon;Grupos:
SaveAs;Salvar como
SaveInTheCloud;Economize na nuvem
SaveLocally;Salvar no local
Guatemala;Guatemala
Guinea;Guiné
EquatorialGuinea;Guiné Equatorial
Haiti;Haiti
Inherited;Herdado
Honduras;Honduras
Identification;ID
AvailableLanguagesColon;Idiomas disponíveis:
India;Índia
Ireland;Irlanda
Israel;Israel
Italy;Itália
Japan;Japão
Read;Leitura
LimitResult;Resultado limite
LimitColon;Limite:
Clear;Limpo
ClearColumns;Colunas limpas
Morocco;Marrocos
MessageColon;Mensagem:
Messages;Mensagens
Mexico;México
ThankYouSoMuch;Muito obrigado
SampleColon;Amostra:
Nicaragua;Nicarágua
ConnectionName;Nome da conexão
KeyNameColon;Nome da chave:
BucketNameColon;Nome do bloco:
Norway;Noruega
NewConnection;Nova conexão
NewParameter;Novo parâmetro
LicenseNumberColon;Número da licença:
AdvancedOptions;Opções avançadas
AdvancedOperators;Operadores avançados
SortResult;Classificar resultado
OrganizationColon;Organização:
CountryColon;País:
Netherlands;Países Baixos
Panama;Panamá
Paraguay;Paraguai
CalculatedParameter;Parâmetro calculado
UserParameter;Parâmetro do Usuário
ParameterColon;Parâmetro:
Pending;Pendente
PermissionsColon;Permissões:
ContactPersonColon;Pessoa de contato:
Peru;Peru
PleaseWait;Por favor espere.
Portugal;Portugal
GitProjectsColon;Projetos Git:
PropertiesColon;Propriedades:
ProxyColon;Proxy:
PuertoRico;Porto Rico
PortColon;Porta:
Pull;Pull
Push;Push
Refresh;Atualizar
RegionColon;Região:
Register;Registre-se
RegisterProduct;Registrar produto
UnitedKingdom;Reino Unido
DominicanRepublic;República Dominicana
Russia;Rússia
SecretKeyColon;Chave secreta:
MultipleSelection;Seleção múltipla
SimpleSelection;Seleção simples
SelectAll;Selecionar tudo
CronoServer;Servidor Crono
LocalServerColon;Servidor local:
SierraLeone;Serra Leoa
_ReadOnly;Somente leitura
Support;Suporte
SqlServer;SQL Server
SouthAfrica;África do sul
Sweden;Suécia
Switzerland;Suíça
Substitutions;Substituições
AccessTypeColon;Tipo de acesso:
TokenColon;Token:
JobsColon;Trabalhos:
Turkey;Turquia
CurrentLocationColon;Localização atual:
Uruguay;Uruguai
UsernameColonNotLocalized;Nome de usuário:
UserOrGroupColon;Usuário ou grupo:
UsersColon;Usuários:
DefaultValueColon;Valor padrão:
Venezuela;Venezuela
ShowDifferences;Ver diferenças
ShowDetailedError;Ver erro detalhado
ShowReport;Ver relatório
ShowExecutionLog;Veja log de execução
ExpectedVersion;Versão esperada
VersionColon;Versão:
SupportWebColon;Web de suporte:
AndUpperCase;E
NewBusinessItem;Novo item de negócios
ThereWasAnErrorDuringObjectVerification;Ocorreu um erro durante a verificação do objeto.
NewFolder;Nova pasta
NewItem;Novo item
Right;Direito
Document;Documento
EditReport;Editar relatório
AwaitingElipsis;A aguardar ...
Browse;Examinar
EndDate;Data final
StartDate;Data de início
Filters;Filtros
Parameters;Parâmetros
ForeignKeys;Chaves estrangeiras
Views;Visualizações
TimeElapsedColon;Tempo transcorrido:
AuthorColon;Autor:
TitleColon;Título:
NewQuery;Nova consulta
Publish;Post
AskEnsureWantPublishThisDocumentPublicationLocationColonParameterTheDocumentWillBeSavedBeforePublishing;Tem certeza de que deseja publicar este documento?||Local da publicação:|{0}||O documento será salvo antes da publicação.
CreatingMainWindow;Criando MainWindow
AskWantDeleteAllSelectedBusinessItems;Deseja excluir todos os itens de negócios selecionados?
ReportProperties;Propriedades do relatório
TheCatalogPathCannotBeLeftBlank;O caminho do catálogo não pode ser deixado em branco
DefaultCredentials;Credenciais padrão
TheUserIsNotDefined;O usuário não está definido
UpdatingElipsis;Atualizando ...
CurrentlyItIsNotPossibleToModifyDefaultIconsOfConditionalFormatsThisConditionalFormatMustBeDeletedIntColumnParameterBetweenParenthesesInOrderToSaveThisDocument;Atualmente, não é possível modificar os ícones padrão dos formatos condicionais.||Você deve excluir este formato condicional na coluna '{0}' para salvar este documento.
TheFileDoesNotExists;O arquivo não existe
ThisVersionIsTooOldConsultWithYourSystemAdministratorToInstallANewerVersionOfCrono;Esta versão é muito antiga. Verifique com o administrador do sistema para instalar uma versão mais recente do Crono.
FiltersOfThisSheet;Filtros desta folha
WeCannotSaveParameterBetweenQuotesBecauseTheFileIsReadOnlyInOrderToSaveChangesSaveReportWithNewNameInDifferentLocation;Não podemos salvar '{0}' porque o arquivo é somente leitura.||Para salvar suas alterações, salve o relatório com um novo nome em um local diferente.
FileUpperCase;ARQUIVO
OpenLocation;Abrir localização
NewSite;Novo site
ShowLog;Ver registro
NewReport;Novo relatório
InterfaceLanguageColon;Idioma da interface:
Application;Aplicação
IfFindErrorsInAnyTranslationHelpUsByWritingUsToInfoCronoDotNet;Se você encontrar erros em alguma das traduções, ajude-nos escrevendo para info@crono.net
TestServer;Servidor de teste
ThereAreUnsavedChangesAskEnsureWantCloseAndLoseChanges;Há alterações não salvas. Tem certeza de que deseja fechar e perder as alterações feitas?
Rename;Renomear
CopyResult;Copiar resultado
ShowSql;Veja SQL
Result;Resultado
CopySql;Copiar SQL
UsernameColon;Nome de usuário:
VariableNameColon;Nome da variável:
SmtpServerColon;Servidor SMTP:
EnableSsl;Ativar SSL
SenderEmailBetweenParenthesesColon;Remetente (email):
SenderNameBetweenParenthesesColon;Remetente (nome):
VariableValueColon;Valor da variável:
TestingSmtpServer;Testando servidor SMTP
AskSaveChangesOfParameterBetweenQuotes;Salvar alterações em '{0}'?
CopyAllTablesNames;Copie o nome de todas as tabelas
ParameterRows;{0: N0} linhas
ParameterColumns;Colunas {0: N0}
CopyTablesNames;Copie o nome das tabelas
CopyFieldsNames;Copiar nomes de campo
AnUnexpectedErrorOccurredDuringConnectionStringCreation;Ocorreu um erro inesperado ao gerar a cadeia de conexão.
Display;Mostrar
YouMustSpecifyAValidNameForThisVariable;Você deve especificar um nome válido para esta variável.
AVariableWithThisNameAlreadyExists;Uma variável com esse mesmo nome já existe.
SaveAll;Salvar tudo
ParameterReadonlyBetweenSquareBrackets;{0} [somente leitura]
ExecuteAll;Executar tudo
Authorizations;Autorizações
CollapseAll;Recolher tudo
CollapseChildren;Recolher crianças
ManageAuthorizations;Gerenciar autorizações
ManageFolderAuthorizations;Gerenciar autorizações de pasta
ConvertToWebFolder;Converter em pasta da web
CronoServerParameterHasBeenInstalledSuccessfully;Servidor Crono {0} foi instalado com sucesso
YouMustSpecifyTheServerName;Você deve especificar o nome do servidor
ErrorInstallingCronoServer;Erro ao instalar o Crono Server
InstallingCronoServer;Instalando o Crono Server
TheSpecifiedServerUrlIsNotValid;O URL do servidor especificado não é válido
ServerProperties;Propriedades do servidor
SelectCronoServerFolder;Selecionar pasta do servidor crono
SelectTheVersionToInstall;Selecione a versão para instalar
ManagingAuthorizationsForTheDirectoryColon;Gerenciando autorizações para o diretório:
ManageConnections;Gerenciar conexões
LogDatabase;Banco de dados de log
LogDatabaseColon;Banco de dados de log:
ConfigurationFolderColon;Pasta de configuração:
ContentFolderColon;Pasta de conteúdo:
ServerFolderParenthesesIisApplicationColon;Pasta do servidor (aplicativo IIS):
CheckStatus;Verificar status
CheckTheDatabaseStructure;Verifique a estrutura do banco de dados
Content;Conteúdo
TheServerIsWorkingCorrectly;O servidor está funcionando corretamente.
GoogleClientIdColon;ID do cliente do Google:
GoogleClientSecretColon;Cliente secreto do Google:
ServerInformation;Informações do servidor
AuthenticationModeColon;Modo de autenticação:
CannotConnectToTheServerColon;Não é possível conectar ao servidor:
RequestCount;Número de pedidos
InheritedPermissions;Permissões herdadas
RecordCronoServerActivityInALogDatabase;Registre a atividade do Crono Server em um banco de dados de log.
ActivityLog;Log de atividades
LastConnection;Última conexão
ServerUrlColon;URL do servidor:
User;Nome de usuário
UserOrGroup;Usuário ou grupo
ConnectedUsers;Usuários conectados
InstalledVersionColon;Versão instalada:
NewGroup;Novo grupo
TheHostHasNoAValidFormatTheSpacesAndCharactersColonBarAreNotAllowed;O host não possui um formato válido, os espaços e os caracteres ': /' não são suportados.
TheSelectedSiteIsAlreadyInTheList;O site selecionado já está na lista
NoUserOrGroupHasBeenSelected;Um usuário ou grupo não foi selecionado.
NewUser;Novo usuário
SiteProperties;Propriedades do site
TheUserNameMustBeEntered;O nome de usuário deve ser digitado
SelectTheSiteFolder;Selecione a pasta do site
IfYouSelectThisOPtionServerWillRespondAllRequestAccordingTheFirstSiteWithoutValidatingHostOrAuthentication;Se você selecionar esta opção, o servidor responderá a todas as solicitações de acordo com o primeiro "" site "", sem validar o "" host "" ou a autenticação.
AutoRouteCronoXmlFilesCxmlBetweenParentheses;Autenticar arquivos XML Crono (* .cxml)
AutoRouteMarkdownFilesMdBetweenParentheses;Autenticar arquivos de remarcação (* .md)
StartDocumentColon;Iniciar documento:
IsADevelopementServerLocalhostBetweenParentheses;É um servidor de desenvolvimento (localhost)
Enabled;Ativado
EditSite;Editar site
RouteColon;Rota:
Sites;Sites
SitesColon;Sites:
UsersAndGroups;Usuários e grupos
ParameterAskWantToSelectANewPath;{0}|Deseja selecionar uma nova rota?
ErrorInsertingDataColonParameterParameter;Erro ao inserir dados:|{0}
TheQueryOfDatainputValuesIsNotCorrectParameter;A consulta dos valores de entrada de dados não está correta||{0}
ThePanelWillBeOverwrittenAskWantContinue;O painel será substituído.||Deseja continuar?
TitleBetweenHyphensExecutionUpperCase;----------------- EXECUÇÃO -----------------
DoubleHyphenEndTimeColonParameter;- Hora de término: {0}
DoubleHyphenStartTimeColonParameter;- Hora de início: {0}
DoubleHyphenNumberOfRecordsColonParameter;- Número de registros: {0}
DoubleHyphenTotalTimeColonParameterSeconds;- Tempo total: {0: N2} segundos
ParameterPerhapsBeingUsedByAnotherProgram;{0} Talvez esteja sendo usado por outro programa.
ParameterPerhapsHasBeenMoverOrDeleted;{0} Talvez tenha sido movido ou excluído.
ParameterNotDefined;{0} indefinido.
AskWantDeleteTheReportParameterBetweenQuotes;Deseja excluir o relatório '{0}'?
AskWantToDeleteTheFolderParameterBetweenQuotesAndAllItsContents;Deseja excluir a pasta '{0}' e todo o seu conteúdo?
AskEnsureWantDeleteThisSheet;Tem certeza de que deseja excluir esta planilha?
AskEnsureWantDeleteThisPanel;Tem certeza de que deseja excluir este painel?
DashboardOpeningDiscarded;Abertura do painel descartada
EndActionExecutedSuccessfully;Ação no final executada com sucesso
InitialActionExecutedSuccessfully;Ação inicialmente executada com sucesso
ActionExecutedSuccessfully;Ação executada com sucesso.
EachRowActionExecutedSuccessfully;Ação para cada linha executada com sucesso
ReportManager;Gerenciador de Relatórios
WpfApplicationLoaded;Aplicativo WPF carregado
AuthenticationColonWindows;Autenticação: Windows
ApplicationLoadCompleted;Carga do aplicativo concluída
RemoteCatalogInnaccesibleParameterBetweenParenthesesCheckInternetConnectionAndRemoteCatalogAddress;Catálogo remoto inacessível ({0}). Verifique sua conexão com a Internet e o endereço do catálogo remoto.
CreateDocumentWithCatalogParameterBetweenQuotes;Crie um documento com o catálogo "" {0} ""
NetworkCredentialsColonParameter;Credenciais de rede: {0}
NetworkCredentialsColonNotSpecified;Credenciais de rede: não especificadas
CronoServerInfoConnectedUserColonParameter;Servidor Crono (informações), Usuário conectado: {0}
CronoServerInfoIisUserDomainNameColonParameter;Servidor Crono (informações), nome de domínio do usuário do IIS: {0}
CronoServerInfoServerDomainNameColonParameter;Servidor Crono (informações), Nome de domínio do servidor: {0}
WhenTwoDimensionsPieChartMapsOnlySupportsOneIndicator;Quando existem 2 dimensões, os mapas do gráfico de torta suportam apenas 1 indicador
FromLeftToRight;De esquerda a direita
YouMustChooseTheNameOfTheReport;Você deve escolher o nome do relatório
DomainColonParameter;Domínio: {0}
TheFileParameterBetweenQuotesDoesNotExists;O arquivo '{0}' não existe.
TheSelectedFileIsTheSameOneCurrentlyOpen;O arquivo selecionado é o mesmo que está aberto no momento.
TheSelectedFileDoesNotContainAnyReport;O arquivo selecionado não contém nenhum relatório.
TheCalendarNeedsADateDimension;O calendário precisa de uma dimensão de data.
TheCalendarRequiresAnyDataToShowInAdditionToTheDate;O calendário requer algumas informações para mostrar parte da data.
TheCatalogParameterBetweenParenthesesIsBadDefined;O catálogo '{0}' está mal definido.
TheCatalogHasBeenModifiedByAnotherProgramAndHasBeenUpdatedSuccessfully;O catálogo foi modificado por outro programa e foi atualizado com sucesso.
TheFunnelChartOnlySupportsOneDimensionAsMaximum;O gráfico de funil suporta apenas uma dimensão máxima
TheReportWillBeImportedInAnUnexpectedPlace;O relatório será importado em um local inesperado.
ThePanelNameCannotBeLeftBlank;O nome do painel não pode ser deixado em branco.
TheDatePickerCanOnlyBeRepresentedWithADateDimensionAndAnIndicator;O selecionador de data só pode ser representado com uma dimensão de data e um indicador
TheGaugeCanOnlyBeRepresentedWhenThereIsOnlyOneValue;O velocímetro só pode ser representado quando houver apenas um valor
ThisChartRequiresAtLeastOneDimension;Este gráfico requer pelo menos uma dimensão
ThisChartRequiresAnIndicator;Este gráfico requer um indicador
ThisChartOnlyAllowsOneIndicator;Este gráfico suporta apenas um indicador
ThisChartCanOnlyBeConstructedFromAGrographicalDimensionAndAnIndicator;Este gráfico só pode ser construído a partir de uma dimensão geográfica e um indicador
ThisMapAtMostAcceptsTwoDimensions;Este mapa aceita no máximo 2 dimensões
ExcludeParameterInThisSheet;Excluir {0} nesta planilha
ExcludeParameterInThisReport;Excluir {0} neste relatório
ThereWasAnErrorUpdatingTheChartDevelopersAlreadyNotified;Ocorreu um erro ao atualizar o gráfico. Os desenvolvedores já foram notificados.
ThereWasAnErrorDrawingTheChartColon;Ocorreu um erro ao desenhar o gráfico:
ThereWasAnErrorDrawingTheChartLabelsColon;Ocorreu um erro ao desenhar os rótulos do gráfico:
ThereWasAnErrorFinalizingTheChartColon;Ocorreu um erro no final do gráfico:
ThereAreTooManyArgumentsToRepresentTheChart;Existem muitos argumentos para representar o gráfico
ReportParameter;Relatório {0}
TheSheetParameterHasAlreadyBeenInitialized;A planilha {0} já foi inicializada
ThePivotTableAsMaximumAllowsTwoDimensions;A tabela dinâmica máxima suporta duas dimensões
ThePivotTableNeedsAnIndicator;A tabela dinâmica precisa de um indicador.
ThePivotTableOnlyAllowsOneIndicatorWheItIsShownWithTwoDimensions;A tabela dinâmica suporta apenas um indicador quando é mostrada com duas dimensões
TheDataOfTheDimensionParameterAreNotDates;Os dados da dimensão {0} não são datas
ScatterChartsAtMostAllowThreeIndicatorsInOrderToShowTheXAxysYAxisAndThickness;Os gráficos de dispersão suportam no máximo três indicadores para mostrar o eixo X, o eixo Y e a espessura
ScatterChartsNeedAtLeastTwoIndicatorsInOrderToShowTheXAxisAndYAxis;Os gráficos de dispersão precisam de pelo menos dois indicadores para serem exibidos nos eixos X e Y
StockChartsNeedOneDimensionAndThreeOrFourIndicators;Os gráficos de ações precisam de uma dimensão e três ou quatro indicadores
TheReportsDoNotUseTheSameCatalogs;Os relatórios não usam os mesmos catálogos.
PieChartsMapsNeedAtLeastOneIndicator;Os gráficos de pizza precisam de pelo menos um indicador
MapsRequireOneGeographicDimension;Os mapas exigem uma dimensão geográfica
ItWasNotPossibleToAccessTheDocumentCatalog;Não foi possível acessar o catálogo de documentos.
ItWasNotPossibleToObtainTheCoordinatesListForTheDimensionParameterBetweenQuotes;Não foi possível obter a lista de coordenadas para a dimensão '{0}'
ThereIsNotEnoughDataToRepresentAChart;Não há dados suficientes para representar um gráfico
TheAttributeToLinkParameterWithTheMapHasNotBeenSpecifiedInTheCatalog;O atributo para vincular {0} ao mapa não foi especificado no catálogo
TheIdFieldToLinkParameterWithMapHasNotBeenSpecifiedInTheCatalog;O campo de identificação para vincular {0} ao mapa não foi especificado no catálogo
TheLatitudeFieldHasForParameterHasNotBeenSpecifiedInTheCatalog;O campo de latitude não foi especificado no catálogo para {0}
TheLengthFieldForPArameterHasNotBeenSpecifiedInTheCatalog;O campo de comprimento não foi especificado no catálogo para {0}
TheMapPathForTheDimensionParameterHasNotBeenSpecifiedInTheCatalog;A rota do mapa para a dimensão {0} não foi especificada no catálogo
CouldNotOpenTheCatalogParameterBetweenQuotes;Não foi possível abrir o catálogo '{0}'.
CouldNotOpenTheDocumentParameterBetweenQuotes;O documento "" {0} "" não pôde ser aberto
CouldNotOpenTheDocument;Não foi possível abrir o documento.
CouldNotConnectToTheServer;Não foi possível conectar ao servidor.
CouldNotGenerateTheDashboardContent;O conteúdo do painel não pôde ser gerado.
CouldNotGenerateTheMap;Não foi possível gerar o mapa.
NoChangesDetected;Nenhuma alteração detectada
ThisViewCannotBeRepresentedBecauseIndicatorReturnsNonNumericalData;Esta exibição não pode ser representada porque um indicador retorna dados não numéricos
CannotRepresentAnyKindOfChartWithMoreThanTenThousandRecords;Você não pode representar nenhum tipo de gráfico com mais de 10.000 registros
CannotRepresentBarOrPieChartsWithMoreThanThousandRecords;Você não pode representar gráficos de barras ou de pizza com mais de 1.000 registros.
CannotBeRepresentedMapsWithMoreThanTwoThousandRecords;Você não pode representar mapas com mais de 2.000 registros.
NewCalculatedItem;Novo item calculado
AnErrorOccurredWhileReadingTheFile;Ocorreu um erro ao ler o arquivo.
PropagationToAllPanels;Propagação a todos os painéis
DocumentProperties;Propriedades do documento
ItemProperties;Propriedades do elemento
PathColonParameter;Rota: {0}
AReportMustBeSelected;Um relatório deve ser selecionado.
TheCatalogOfThisDocumentHasBeenUpdatedThisUsuallyOccursWhenChangesOrImprovementsPublishedOnServer;O catálogo deste documento foi atualizado.¬ ¬ Isso geralmente ocorre quando alterações ou melhorias são publicadas no servidor.
TheReferenceToThePanelManagerHasBeenLost;A referência ao administrador do painel foi perdida.
TheReferenceToThePanelControllerHasBeenLost;A referência ao controlador do painel foi perdida.
TheReferenceToThePanelHasBeenLost;A referência ao painel foi perdida.
SelectParameterInThisSheet;Selecione {0} nesta folha
SelectParameterInThisReport;Selecione {0} neste relatório
SelectTheFileFromWhichWantImportTheReport;Selecione o arquivo do qual você deseja importar o relatório
SelectTheReportToImport;Selecione o relatório para importar
ServerColonParameter;Servidor: {0}
UndefinedChartType;Tipo de gráfico indefinido
NotImplementedPanelType;Tipo de painel não implementado
TypeColonParameter;Tipo: {0}
CustomPopupWindow;Janela pop-up personalizada
Area;Area
SplineArea;Área curva
StepArea;Área escalonada
Bar;Bar
CleanWhite;Branco limpo
MagicLight;Claro mágica
FlatLight;Limpar plano
Classic;Clássico
DataInputColumn;Coluna de entrada de dados
DbConnection;Conexão de banco de dados
Cosmic;Cosmic
Day;Dia
WhereToSave;Onde salvar
Echo;Eco
SecondaryYAxis;Eixo Y secundário
ManualEntry;Entrada manual
SingleDate;Data única
Futuristic;Futurista
QueriesHistory;Histórico de consultas
SheetParameter;Folha {0}
ImportReport;Relatório de importação
StartAndEnd;Início e fim
Intelligent;Smart
IStyle;iStyle
Line;Linha
Spline;Linha curva
Timeline;Linha do tempo
StepLine;Linha escalonada
Month;Mês
FlatDark;Apartamento escuro
Progressive;Progressivo
SheetProperties;Propriedades da folha
PanelProperties;Propriedades do painel
RedClock;Relógio vermelho
DropDownSelector;Seletor suspenso
Week;Semana
CompleteWeek;Semana completa
Workweek;Semana de trabalho
WithoutDataInput;Sem entrada de dados
WithoutPropagation;Sem propagação
YellowSubmarine;Submarino Amarelo
SerieType;Tipo de série
TypeColonCronoServer;Tipo: servidor Crono
TypeColonDirect;Tipo: Direto
DefaultValue;Valor padrão
PopupWindow;Estouro
UserItems;Itens do Usuário
Below;Para baixo
BusinessActionsColon;Ações de negócios:
UpdateReport;Atualizar Relatório
AllowsDataInputColon;Suporta entrada de dados:
AdjustWidthAutomatically;Ajustar largura automaticamente
AtTheEnd;Ao final
AtTheBeginning;No princípio
AlternateRowsColor;Alternar linhas de cores
Donut;Ring
NestedDonuts;Anéis aninhados
AnimateGraphic;Animar gráfico
StackedAreas;Áreas empilhadas
FullStackedAreas;Áreas totalmente empilhadas
SplineAreas;Áreas curvas
StepAreas;Áreas escalonadas
ArgumentsSwapped;Argumentos trocados
DragHereToCreateASheetFilter;Arraste aqui para criar um filtro de folha.
Above;Acima
AdvancedPluralMale;Avançado
StackedBars;Barras empilhadas
FullStackedBars;Barras empilhadas completamente
LockQueryParenthesesPreventsAddingRemovingColumnsAndFilters;Bloquear consulta (evita adicionar ou remover colunas e filtros)
LockReport;Bloquear relatório
DeleteSelection;Excluir seleção
ChangeName;Mudar de nome
Car;Carro
Colors;Cores
MergeCells;Mesclar células
CustomQueryOfValuesColon;Consulta personalizada de valores:
CopyAsService;Copiar como serviço
CopyData;Copiar dados
LocalDocuments;Documentos locais
DuplicateSheet;Folha duplicada
DuplicatePanel;Painel duplicado
EditCube;Editar cubo
QueriesEditor;Editor de consultas
DeleteReport;Excluir relatório
Funnel;Funil
InTheRow;Em linha
ReadOnlyDocumentColon;É um documento somente leitura:
StyleColon;Estilo:
Stock;Estoc
FilterThisColumnInDependantPanels;Filtre esta coluna nos painéis dependentes
SaveToServer;Salvar no servidor
History;História
Sheet;Folha
HorizontalPlural;Horizontal
ImageParentheses32x32Colon;Imagem (32x32):
DebugInformation;Informações de depuração
ClearQuery;Limpar consulta
Splines;Linhas curvas
StepLines;Linhas escalonadas
MapUpperCase;MAPA
InputModeColon;Modo de introdução:
PropagationMode;Modo de propagação
PropagationModeToOtherPanelsOfThisSheet;Modo de propagação para o restante dos painéis desta folha:
RepresentationMode;Modo Representação
ShowGrouping;Mostrar agrupamento
ShowColumnHeaders;Mostrar cabeçalhos de coluna
ShowRowHeaders;Mostrar cabeçalhos de linha
ShowNavigationControls;Mostrar controles de navegação
ShowCoordinates;Mostrar coordenadas
ShowSearchBox;Mostrar caixa de pesquisa
ShowDetails;Mostrar detalhes
ShowScale;Mostrar escala
ShowLabels;Mostrar tags
ShowFilters;Mostrar filtros
ShowLegend;Mostrar legenda
ShowPositionLines;Mostrar linhas de posição
ShowHorizontalLines;Mostrar linhas horizontais
ShowVerticalLines;Mostrar linhas verticais
ShowPoints;Mostrar pontos
AlwaysShowZero;Sempre mostrar zero
ShowColumnSubtotals;Mostrar subtotais da coluna
ShowRowSubtotals;Mostrar subtotais de linha
ShowAllRowsParenthesesShowAllRecordsEvenThoseWithoutData;Mostrar todas as linhas (mostrar todos os registros, mesmo aqueles sem dados)
ShowColumnTotals;Mostrar totais da coluna
ShowRowTotals;Mostrar totais da linha
NumberOfColorsColon;Número de cores:
NewSheet;Nova folha
NumberOfScalesColon;Número de escalas:
OptionsUpperCase;OPÇÕES
ColorPalette;Paleta de cores
ChartColorPaletteColon;Paleta de cores do gráfico:
ForEachRow;Para cada linha
Paste;Colar
AllowAddRecords;Adicionar registros
AllowDeleteRecords;Excluir registros
AllowChangeTheTableSortingParenthesesToPreventSortingByClickingColumn;Permitir alterar a classificação da tabela (para impedir a classificação clicando em uma coluna)
AllowFilterTheQueryResultParenthesesHidesOrShowsTheFilterIconThatAppearsLeavingTheCursorOnColumnHeader;Permitir filtrar o resultado da consulta (ocultar ou mostrar o ícone do filtro que aparece ao deixar o cursor no cabeçalho de uma coluna)
AllowReorderTheColumnsParenthesesToPreventUnintentionalModificationOfTheQuery;Permitir reordenar colunas (para impedir modificações não intencionais da consulta)
AllowHorizontalZoom;Permitir zoom horizontal
AllowVerticalZoom;Permitir zoom vertical
PropagateSelectionToOtherPanels;Propagar a seleção para outros painéis
Recents;Recentes
ReturnedRecords;Devoluções Registradas
MandatorySelectionParenthesesPreventsDependantPanelsFromBeingExecutedUnlessThereIsAnyFieldSelected;Seleção obrigatória (impede a execução de painéis dependentes, a menos que haja algum campo selecionado)
DatePicker;Selecionador de data
SemiCircular;Semi circular
DynamicTable;Tabela dinâmica
PivotTable;Tabela dinâmica
SizeProportionalToTheIndicator;Tamanho proporcional ao indicador
Cards;Postais
Time;Tempo
ChartType;Tipo de gráfico
ViewType;Tipo de exibição
ColumnSubtotalLocation;Localização da coluna subtotal
RowSubtotalLocation;Localização da linha do subtotal
UseComputerConnectionParenthesesIfAvailable;Use a conexão do equipamento (se disponível)
MaximumValueColon;Valor máximo:
MinimumValueColon;Valor mínimo:
Candle;Vela
GaugeUpperCase;SPEEDOMETER
Gauges;Velocímetros
Verticals;Verticais
Visualization;Visualização
FlipColors;Inverter cores
FolderName;Nome da pasta
AcceptChanges;Aceitar alterações
Areas;Áreas de atuação
Bars;Rods
Bubbles;Bubbles
Pie;Circular
DataInput;Entrada de dados
Scatter;Dispersão
DeleteRow;Excluir linha
Reports;Relatórios
Left;Esquerda
Lines;Linhas
Map;Mapa
Points;Pontos
Circular;Circular
ThisReportDoesNotHasCatalogSpecifyTheCatalogInOrderToUseTheReport;Este relatório não possui catálogo. Especifique o catálogo para usar o relatório.
ShowSheets;Mostrar folhas
HideSheets;Ocultar folhas
CurrentlyOnlyUniqueProjectsAreSupportedTwo;Atualmente, apenas projetos exclusivos são suportados.2
SomethingIsNotRightParameterBetweenParentheses;Algo não está certo ({0}).
SomethingWentWrongParameterBetweenParenthesesParameterBetweenParentheses;Algo não correu bem ({0}) ({1}).
ApplyingTemplateToTheTestFile;Aplicando modelo ao arquivo de teste
LoadingCssElipsis;Carregando css ...
LoadingJsElipsis;Carregando js ...
CleanColonDeleteBinFolders;Limpar: excluir pastas BIN
CompileParameterBetweenQuotes;Compile '{0}'
TheCodeSigningCertificateCertificcateNameBetweenParenthesesMustBeSpecified;O certificado de assinatura de código (CertificateName) deve ser especificado
RunTestsColonParameterProjects;Execute testes: {0} projetos
TheFileHasNotBeenSignedColon;O arquivo não foi assinado:
TheFileIsAlreadySignedColon;O arquivo já está assinado:
TheAssemblyNameMustNotContainSpacesOrDots;O nome da montagem não deve conter espaços ou pontos.
ItIsNecessaryToCompileColon;É necessário compilar:
ThisProjectDoesNotHaveTheTestProjectDefined;Este projeto não possui o projeto Testes definido.
