_New;Nouveau
DefaultServer;Serveur par défaut
RegisteredServers;Serveurs enregistrés
RegisteredServersColon;Serveurs enregistrés:
IfNotHaveValidLicenseNumberCanRequestForFreeAtFollowingAddressColon;Si vous n'avez pas de numéro de licence valide, vous pouvez le demander gratuitement à l'adresse suivante:
UploadTheChangesToTheCloudAutomaticallyAfterSynchronize;Téléchargez automatiquement les modifications dans le cloud après la synchronisation
ColumnFilterType;Type de filtre à colonne
RemoteBackupsLocation;Sauvegardes à distance
UseThisScreenToLimitNumberOfRecordsReturnedOrSetRankingBasedOnOneOfTheColumns;Utilisez cet écran pour limiter le nombre d'enregistrements retournés ou pour établir un classement basé sur l'une des colonnes.
SelectedValues;Valeurs sélectionnées
SeeObjectThatUseThisParameter;Voir les objets qui utilisent ce paramètre
VerifyConnectionToLocalDB;Vérifier la connexion à LocalDB
VerifyCredentials;Vérifier les informations d'identification
VerifyInstallation;Vérifier l'installation
VisitCronoWebsite;Visitez le site Internet de Crono
IAlreadyHaveALicenseNumber;J'ai déjà un numéro de licence
IAlreadyHaveALicense;J'ai déjà une licence
HomeUpperCase;DÉBUT
Definition;Définition
Verify;Vérifier
Diagram;Diagramme
QueyUpperCase;CONSULTATION
DescriptionColon;Description:
NameColon;Nom:
UserColon;Identifiant:
PasswordColon;Mot de passe:
FontColon;Source:
UrlColon;URL:
ActionsColon;Actions:
DatabaseColon;Base de données:
Cancel;Annuler
ConnectionColon;Connexion:
DiscardChanges;Ignorer les modifications
Disabled;Désactivée
ExecutingElipsis;En cours d'exécution ...
Environment;L'environnement
ListOfValues;Liste de valeurs
ListOfValuesColon;Liste de valeurs:
EditConnection;Modifier la connexion
FullNameColon;Nom complet:
ServerColon;Serveur:
DataTypeColon;Type de données:
ParenthesesWithoutProxy;(sans proxy)
Activated;Sur
UpdateList;Actualiser la liste
AdvancedPluralFemale;Avancé
BackgroundColorColon;Couleur de fond:
QueriesColon;Requêtes:
PasswordLocalizedColon;Mot de passe:
EmailColon;Courrier électronique:
Design;La conception
CompanyColon;Entreprise:
ExpressionColon;Expression:
FormulaColon;Formule:
Save;Sauvegarder
ReadAndWrite;Lire et écrire
Message;Message
EditServer;Modifier le serveur
SourceColon;Origine:
Path;Parcours
SelectSeveral;Sélectionnez plusieurs
TextColon;Texte:
Type;Type
FormatType;Format de type
ValueColon;Valeur:
CheckConnection;Vérifier la connexion
ParenthesesRestOfEurope;(Reste de l'Europe)
ParenthesesRestOfTheWorld;(Reste du monde)
AnonymousAccess;Accès anonyme
About;À propos de
AttachedColon;Pièce jointe:
Germany;Allemagne
AmazonS3;Amazon S3
Andorra;Andorre
Argentina;Argentine
Australia;Australie
Austria;Autriche
SqlAuthentication;Authentification SQL
Belgium;La Belgique
Bolivia;Bolivie
Brazil;Le Brésil
Bulgaria;Bulgarie
Search;Chercher
ConnectionStringColon;Chaîne de connexion:
Calculator;Calculatrice
CalendarColon;Calendrier:
ChangesInTheCloud;Changements dans le cloud
Canada;Le Canada
Loading;Chargement
CubeFolderColon;Dossier de cube:
FolderColon;Dossier:
GitFolders;Dossiers GIT
LocalCatalog;Catalogue local
CatalogColon;Catalogue:
Catalogs;Catalogues
RecentCatalogsColon;Catalogues récents:
Chile;Chili
China;La Chine
Cyprus;Chypre
CityColon;Ville:
AccessKey;Mot de passe
Colombia;La Colombie
Column;Colonne
Check;Vérifier
Granted;Accordé
ComputerConnection;Connexion d'équipement
ComputerConnections;Connexions d'équipement
ConnectionsColon;Connexions:
ContainsNulls;Il contient des valeurs nulles
CopyText;Copier du texte
CostaRica;Costa Rica
CreateDatabase;Créer une base de données
AmazonCredentials;Identifiants Amazon
EmailCredentials;Identifiants de messagerie
GitCredentials;Identifiants GIT
NetworkCredentials;Informations d'identification réseau
Cuba;Cuba
Cube;Seau
Cubes;Cubes
LocalCubesColon;Cubes locaux:
Denied;Refusée
Deny;Refuser
DownloadColon;Téléchargez:
_Stop;Arrêter
Denmark;Danemark
UrlAddressColon;Adresse URL:
AddressColon;Adresse:
DomainColon;Domaine:
Ecuador;Équateur
EditManually;Modifier manuellement
ExecutingActions;Exécution d'actions
ElSalvador;Le sauveur
BusinessItemColon;Élément métier:
RemoveFromTheList;Supprimer de la liste
DeleteFilter;Supprimer le filtre
Awaiting;En attente
_Error;Erreur
Spain;Espagne
UnitedStates;États Unis
Style;Le style
TokenDateColon;Date du jeton:
Fetch;Récupérer
Philippines;Philippines
FilterCatalogColon;Catalogue de filtres:
AdvancedFilter;Filtre avancé
CombinedFilterColon;Filtre combiné:
AdvancedFormula;Formule avancée
France;La France
Generic;Générique
Gibraltar;Gibraltar
Greece;Grèce
GroupsColon;Groupes:
SaveAs;Garder comme
SaveInTheCloud;Enregistrer dans le cloud
SaveLocally;Enregistrer en local
Guatemala;Guatemala
Guinea;Guinée
EquatorialGuinea;Guinée équatoriale
Haiti;Haïti
Inherited;Hérité
Honduras;Honduras
Identification;Identifiant
AvailableLanguagesColon;Langues disponibles:
India;Inde
Ireland;Irlande
Israel;Israël
Italy;Italie
Japan;Japon
Read;La lecture
LimitResult;Résultat limite
LimitColon;Limite:
Clear;Propre
ClearColumns;Nettoyer les colonnes
Morocco;Le maroc
MessageColon;Message:
Messages;Des messages
Mexico;Mexique
ThankYouSoMuch;Merci beaucoup
SampleColon;Échantillon:
Nicaragua;Nicaragua
ConnectionName;Nom de la connexion
KeyNameColon;Nom clé:
BucketNameColon;Nom du compartiment:
Norway;La Norvège
NewConnection;Nouvelle connexion
NewParameter;Nouveau paramètre
LicenseNumberColon;Numéro de licence:
AdvancedOptions;Options avancées
AdvancedOperators;Opérateurs avancés
SortResult;Trier le résultat
OrganizationColon;Organisation:
CountryColon;Pays:
Netherlands;Pays Bas
Panama;Panama
Paraguay;Paraguay
CalculatedParameter;Paramètre calculé
UserParameter;Paramètre utilisateur
ParameterColon;Paramètre:
Pending;En attente
PermissionsColon;Autorisations:
ContactPersonColon;Personne de contact:
Peru;Pérou
PleaseWait;S'il-vous-plaît attendez.
Portugal;Le Portugal
GitProjectsColon;Projets Git:
PropertiesColon;Propriétés:
ProxyColon;Proxy:
PuertoRico;Porto Rico
PortColon;Port:
Pull;Tirer
Push;Poussez
Refresh;Rafraîchir
RegionColon;Région:
Register;S'inscrire
RegisterProduct;Enregistrer le produit
UnitedKingdom;Royaume-Uni
DominicanRepublic;République Dominicaine
Russia;La russie
SecretKeyColon;Clé secrète:
MultipleSelection;Sélection multiple
SimpleSelection;Sélection simple
SelectAll;Tout sélectionner
CronoServer;Serveur Crono
LocalServerColon;Serveur local:
SierraLeone;Sierra Leone
_ReadOnly;Lecture seule
Support;Le soutien
SqlServer;SQL Server
SouthAfrica;Afrique du sud
Sweden;La Suède
Switzerland;La Suisse
Substitutions;Substitutions
AccessTypeColon;Type d'accès:
TokenColon;Jeton:
JobsColon;Oeuvres:
Turkey;La Turquie
CurrentLocationColon;Situation actuelle:
Uruguay;Uruguay
UsernameColonNotLocalized;Identifiant:
UserOrGroupColon;Utilisateur ou groupe:
UsersColon;Utilisateurs:
DefaultValueColon;Valeur par défaut:
Venezuela;Venezuela
ShowDifferences;Voir les différences
ShowDetailedError;Voir l'erreur détaillée
ShowReport;Voir rapport
ShowExecutionLog;Voir le journal d'exécution
ExpectedVersion;Version attendue
VersionColon;Version:
SupportWebColon;Web d'assistance:
AndUpperCase;Et
NewBusinessItem;Nouvel élément commercial
ThereWasAnErrorDuringObjectVerification;Une erreur s'est produite lors de la vérification de l'objet.
NewFolder;Nouveau dossier
NewItem;Nouvel élément
Right;Droite
Document;Document
EditReport;Modifier le rapport
AwaitingElipsis;En attendant ...
Browse;Examiner
EndDate;Date de fin
StartDate;La date de début
Filters;Filtres
Parameters;Paramètres
ForeignKeys;Clés étrangères
Views;Vues
TimeElapsedColon;Temps écoulé:
AuthorColon;Auteur:
TitleColon;Titre:
NewQuery;Nouvelle requête
Publish;Publier
AskEnsureWantPublishThisDocumentPublicationLocationColonParameterTheDocumentWillBeSavedBeforePublishing;Voulez-vous vraiment publier ce document?||Lieu de publication:|{0}||Le document sera enregistré avant sa publication.
CreatingMainWindow;Création de MainWindow
AskWantDeleteAllSelectedBusinessItems;Voulez-vous supprimer tous les éléments commerciaux sélectionnés?
ReportProperties;Propriétés du rapport
TheCatalogPathCannotBeLeftBlank;Le chemin d'accès au catalogue ne peut pas être laissé vide
DefaultCredentials;Informations d'identification par défaut
TheUserIsNotDefined;L'utilisateur n'est pas défini
UpdatingElipsis;Mise à jour ...
CurrentlyItIsNotPossibleToModifyDefaultIconsOfConditionalFormatsThisConditionalFormatMustBeDeletedIntColumnParameterBetweenParenthesesInOrderToSaveThisDocument;Actuellement, il n'est pas possible de modifier les icônes par défaut des formats conditionnels.||Vous devez supprimer ce format conditionnel dans la colonne '{0}' pour enregistrer ce document.
TheFileDoesNotExists;Le fichier n'existe pas
ThisVersionIsTooOldConsultWithYourSystemAdministratorToInstallANewerVersionOfCrono;Cette version est trop ancienne. Vérifiez auprès de votre administrateur système pour installer une version plus récente de Crono.
FiltersOfThisSheet;Filtres de cette fiche
WeCannotSaveParameterBetweenQuotesBecauseTheFileIsReadOnlyInOrderToSaveChangesSaveReportWithNewNameInDifferentLocation;Nous ne pouvons pas enregistrer '{0}' car le fichier est en lecture seule.||Pour enregistrer vos modifications, enregistrez le rapport sous un nouveau nom dans un emplacement différent.
FileUpperCase;DOSSIER
OpenLocation;Emplacement ouvert
NewSite;Nouveau site
ShowLog;Voir l'enregistrement
NewReport;Nouveau rapport
InterfaceLanguageColon;Langue de l'interface:
Application;Candidature
IfFindErrorsInAnyTranslationHelpUsByWritingUsToInfoCronoDotNet;Si vous trouvez des erreurs dans l'une des traductions, aidez-nous en écrivant à info@crono.net
TestServer;Serveur de test
ThereAreUnsavedChangesAskEnsureWantCloseAndLoseChanges;Certaines modifications n'ont pas été enregistrées. Voulez-vous vraiment fermer et perdre les modifications apportées?
Rename;Renommer
CopyResult;Copier le résultat
ShowSql;Voir SQL
Result;Résultat
CopySql;Copier SQL
UsernameColon;Nom d'utilisateur:
VariableNameColon;Nom de variable:
SmtpServerColon;Serveur SMTP:
EnableSsl;Activer SSL
SenderEmailBetweenParenthesesColon;Expéditeur (e-mail):
SenderNameBetweenParenthesesColon;Expéditeur (nom):
VariableValueColon;Valeur de la variable:
TestingSmtpServer;Test du serveur SMTP
AskSaveChangesOfParameterBetweenQuotes;Enregistrer les modifications dans «{0}»?
CopyAllTablesNames;Copier le nom de toutes les tables
ParameterRows;{0: N0} lignes
ParameterColumns;{0: N0} colonnes
CopyTablesNames;Copier le nom des tables
CopyFieldsNames;Copier les noms des champs
AnUnexpectedErrorOccurredDuringConnectionStringCreation;Une erreur inattendue s'est produite lors de la génération de la chaîne de connexion.
Display;Afficher
YouMustSpecifyAValidNameForThisVariable;Vous devez spécifier un nom valide pour cette variable.
AVariableWithThisNameAlreadyExists;Une variable portant ce même nom existe déjà.
SaveAll;Tout sauvegarder
ParameterReadonlyBetweenSquareBrackets;{0} [lecture seule]
ExecuteAll;Tout exécuter
Authorizations;Autorisations
CollapseAll;Réduire tout
CollapseChildren;Réduire les enfants
ManageAuthorizations;Gérer les autorisations
ManageFolderAuthorizations;Gérer les autorisations de dossier
ConvertToWebFolder;Convertir en dossier Web
CronoServerParameterHasBeenInstalledSuccessfully;Crono Server {0} a été installé avec succès
YouMustSpecifyTheServerName;Vous devez spécifier le nom du serveur
ErrorInstallingCronoServer;Erreur lors de l'installation de Crono Server
InstallingCronoServer;Installation de Crono Server
TheSpecifiedServerUrlIsNotValid;L'URL du serveur spécifié n'est pas valide
ServerProperties;Propriétés du serveur
SelectCronoServerFolder;Sélectionner le dossier du serveur crono
SelectTheVersionToInstall;Sélectionnez la version à installer
ManagingAuthorizationsForTheDirectoryColon;Gestion des autorisations pour l'annuaire:
ManageConnections;Gérer les connexions
LogDatabase;Base de données des journaux
LogDatabaseColon;Base de données des journaux:
ConfigurationFolderColon;Dossier de configuration:
ContentFolderColon;Dossier de contenu:
ServerFolderParenthesesIisApplicationColon;Dossier du serveur (application IIS):
CheckStatus;Vérifier l'état
CheckTheDatabaseStructure;Vérifier la structure de la base de données
Content;Le contenu
TheServerIsWorkingCorrectly;Le serveur fonctionne correctement.
GoogleClientIdColon;Numéro client Google:
GoogleClientSecretColon;Client secret Google:
ServerInformation;Informations sur le serveur
AuthenticationModeColon;Mode d'authentification:
CannotConnectToTheServerColon;Il n'est pas possible de se connecter au serveur:
RequestCount;Nombre de demandes
InheritedPermissions;Autorisations héritées
RecordCronoServerActivityInALogDatabase;Enregistrez l'activité de Crono Server dans une base de données de journaux.
ActivityLog;Journal d'activité
LastConnection;Dernière connexion
ServerUrlColon;URL du serveur:
User;Identifiant
UserOrGroup;Utilisateur ou groupe
ConnectedUsers;Utilisateurs connectés
InstalledVersionColon;Version installée:
NewGroup;Nouveau groupe
TheHostHasNoAValidFormatTheSpacesAndCharactersColonBarAreNotAllowed;L'hôte n'a pas de format valide, les espaces et les caractères ': /' ne sont pas pris en charge.
TheSelectedSiteIsAlreadyInTheList;Le site sélectionné est déjà dans la liste
NoUserOrGroupHasBeenSelected;Un utilisateur ou un groupe n'a pas été sélectionné.
NewUser;Nouvel utilisateur
SiteProperties;Propriétés du site
TheUserNameMustBeEntered;Le nom d'utilisateur doit être entré
SelectTheSiteFolder;Sélectionnez le dossier du site
IfYouSelectThisOPtionServerWillRespondAllRequestAccordingTheFirstSiteWithoutValidatingHostOrAuthentication;Si vous sélectionnez cette option, le serveur répondra à toutes les demandes en fonction du premier "" site "", sans valider ni "" l'hôte "" ni l'authentification.
AutoRouteCronoXmlFilesCxmlBetweenParentheses;Authentifier les fichiers XML Crono (* .cxml)
AutoRouteMarkdownFilesMdBetweenParentheses;Authentifier les fichiers de démarque (* .md)
StartDocumentColon;Document de démarrage:
IsADevelopementServerLocalhostBetweenParentheses;C'est un serveur de développement (localhost)
Enabled;Activé
EditSite;Modifier le site
RouteColon;Route:
Sites;Les sites
SitesColon;Sites:
UsersAndGroups;Utilisateurs et groupes
ParameterAskWantToSelectANewPath;{0}|Voulez-vous sélectionner un nouvel itinéraire?
ErrorInsertingDataColonParameterParameter;Erreur lors de l'insertion des données:|{0}
TheQueryOfDatainputValuesIsNotCorrectParameter;La requête des valeurs de sortie de données n'est pas correcte||{0}
ThePanelWillBeOverwrittenAskWantContinue;Le panneau sera écrasé.||Voulez-vous continuer?
TitleBetweenHyphensExecutionUpperCase;----------------- EXÉCUTION -----------------
DoubleHyphenEndTimeColonParameter;- Heure de fin: {0}
DoubleHyphenStartTimeColonParameter;- Heure de début: {0}
DoubleHyphenNumberOfRecordsColonParameter;- Nombre d'enregistrements: {0}
DoubleHyphenTotalTimeColonParameterSeconds;- Temps total: {0: N2} secondes
ParameterPerhapsBeingUsedByAnotherProgram;{0} Il est peut-être utilisé par un autre programme.
ParameterPerhapsHasBeenMoverOrDeleted;{0} Il a peut-être été déplacé ou supprimé.
ParameterNotDefined;{0} non défini.
AskWantDeleteTheReportParameterBetweenQuotes;Voulez-vous supprimer le rapport '{0}'?
AskWantToDeleteTheFolderParameterBetweenQuotesAndAllItsContents;Voulez-vous supprimer le dossier '{0}' et tout son contenu?
AskEnsureWantDeleteThisSheet;Voulez-vous vraiment supprimer cette feuille?
AskEnsureWantDeleteThisPanel;Voulez-vous vraiment supprimer ce panneau?
DashboardOpeningDiscarded;Ouverture du tableau de bord supprimée
EndActionExecutedSuccessfully;Action à la fin exécutée avec succès
InitialActionExecutedSuccessfully;Action initialement exécutée avec succès
ActionExecutedSuccessfully;Action exécutée avec succès.
EachRowActionExecutedSuccessfully;Action pour chaque ligne exécutée avec succès
ReportManager;Gestionnaire de rapports
WpfApplicationLoaded;Application WPF chargée
AuthenticationColonWindows;Authentification: Windows
ApplicationLoadCompleted;Chargement de l'application terminé
RemoteCatalogInnaccesibleParameterBetweenParenthesesCheckInternetConnectionAndRemoteCatalogAddress;Catalogue distant inaccessible ({0}). Vérifiez votre connexion Internet et l'adresse du catalogue distant.
CreateDocumentWithCatalogParameterBetweenQuotes;Créer un document avec le catalogue "" {0} ""
NetworkCredentialsColonParameter;Informations d'identification réseau: {0}
NetworkCredentialsColonNotSpecified;Informations d'identification réseau: non spécifiées
CronoServerInfoConnectedUserColonParameter;Serveur Crono (info), Utilisateur connecté: {0}
CronoServerInfoIisUserDomainNameColonParameter;Serveur Crono (info), nom de domaine utilisateur IIS: {0}
CronoServerInfoServerDomainNameColonParameter;Serveur Crono (info), Nom de domaine du serveur: {0}
WhenTwoDimensionsPieChartMapsOnlySupportsOneIndicator;Lorsqu'il y a 2 dimensions, les cartes à secteurs ne prennent en charge qu'un seul indicateur
FromLeftToRight;De gauche à droite
YouMustChooseTheNameOfTheReport;Vous devez choisir le nom du rapport
DomainColonParameter;Domaine: {0}
TheFileParameterBetweenQuotesDoesNotExists;Le fichier '{0}' n'existe pas.
TheSelectedFileIsTheSameOneCurrentlyOpen;Le fichier sélectionné est le même qui est actuellement ouvert.
TheSelectedFileDoesNotContainAnyReport;Le fichier sélectionné ne contient aucun rapport.
TheCalendarNeedsADateDimension;Le calendrier a besoin d'une dimension de date.
TheCalendarRequiresAnyDataToShowInAdditionToTheDate;Le calendrier nécessite quelques informations pour afficher une partie de la date.
TheCatalogParameterBetweenParenthesesIsBadDefined;Le catalogue '{0}' est mal défini.
TheCatalogHasBeenModifiedByAnotherProgramAndHasBeenUpdatedSuccessfully;Le catalogue a été modifié par un autre programme et a été mis à jour avec succès.
TheFunnelChartOnlySupportsOneDimensionAsMaximum;Le graphique en entonnoir ne prend en charge qu'une dimension maximale
TheReportWillBeImportedInAnUnexpectedPlace;Le rapport sera importé dans un endroit inattendu.
ThePanelNameCannotBeLeftBlank;Le nom du panneau ne peut pas être laissé vide.
TheDatePickerCanOnlyBeRepresentedWithADateDimensionAndAnIndicator;Le sélecteur de date ne peut être représenté qu'avec une dimension de date et un indicateur
TheGaugeCanOnlyBeRepresentedWhenThereIsOnlyOneValue;L'indicateur de vitesse ne peut être représenté que lorsqu'il n'y a qu'une seule valeur
ThisChartRequiresAtLeastOneDimension;Ce graphique nécessite au moins une dimension
ThisChartRequiresAnIndicator;Ce graphique nécessite un indicateur
ThisChartOnlyAllowsOneIndicator;Ce graphique ne prend en charge qu'un seul indicateur
ThisChartCanOnlyBeConstructedFromAGrographicalDimensionAndAnIndicator;Ce graphique ne peut être construit qu'à partir d'une dimension géographique et d'un indicateur
ThisMapAtMostAcceptsTwoDimensions;Cette carte accepte tout au plus 2 dimensions
ExcludeParameterInThisSheet;Exclure {0} sur cette feuille
ExcludeParameterInThisReport;Exclure {0} dans ce rapport
ThereWasAnErrorUpdatingTheChartDevelopersAlreadyNotified;Une erreur s'est produite lors de la mise à jour du graphique. Les développeurs ont déjà été informés.
ThereWasAnErrorDrawingTheChartColon;Une erreur s'est produite lors du dessin du graphique:
ThereWasAnErrorDrawingTheChartLabelsColon;Une erreur s'est produite lors du dessin des étiquettes du graphique:
ThereWasAnErrorFinalizingTheChartColon;Il y avait une erreur à la fin du graphique:
ThereAreTooManyArgumentsToRepresentTheChart;Il y a trop d'arguments pour représenter le graphique
ReportParameter;Signaler {0}
TheSheetParameterHasAlreadyBeenInitialized;La feuille {0} a déjà été initialisée
ThePivotTableAsMaximumAllowsTwoDimensions;La table pivotante maximale prend en charge deux dimensions
ThePivotTableNeedsAnIndicator;Le tableau croisé dynamique a besoin d'un indicateur.
ThePivotTableOnlyAllowsOneIndicatorWheItIsShownWithTwoDimensions;Le tableau croisé dynamique ne prend en charge qu'un seul indicateur lorsqu'il est représenté en deux dimensions
TheDataOfTheDimensionParameterAreNotDates;Les données de dimension {0} ne sont pas des dates
ScatterChartsAtMostAllowThreeIndicatorsInOrderToShowTheXAxysYAxisAndThickness;Les diagrammes de dispersion prennent tout au plus en charge trois indicateurs pour montrer l'axe X, l'axe Y et l'épaisseur
ScatterChartsNeedAtLeastTwoIndicatorsInOrderToShowTheXAxisAndYAxis;Les diagrammes de dispersion nécessitent au moins deux indicateurs pour apparaître sur l'axe X et l'axe Y
StockChartsNeedOneDimensionAndThreeOrFourIndicators;Les graphiques boursiers nécessitent une dimension et trois ou quatre indicateurs
TheReportsDoNotUseTheSameCatalogs;Les rapports n'utilisent pas les mêmes catalogues.
PieChartsMapsNeedAtLeastOneIndicator;Les graphiques circulaires nécessitent au moins un indicateur
MapsRequireOneGeographicDimension;Les cartes nécessitent 1 dimension géographique
ItWasNotPossibleToAccessTheDocumentCatalog;Il n'a pas été possible d'accéder au catalogue de documents.
ItWasNotPossibleToObtainTheCoordinatesListForTheDimensionParameterBetweenQuotes;Il n'a pas été possible d'obtenir la liste de coordonnées pour la dimension '{0}'
ThereIsNotEnoughDataToRepresentAChart;Il n'y a pas assez de données pour représenter un graphique
TheAttributeToLinkParameterWithTheMapHasNotBeenSpecifiedInTheCatalog;L'attribut pour lier {0} à la carte n'a pas été spécifié dans le catalogue
TheIdFieldToLinkParameterWithMapHasNotBeenSpecifiedInTheCatalog;Le champ id pour lier {0} à la carte n'a pas été spécifié dans le catalogue
TheLatitudeFieldHasForParameterHasNotBeenSpecifiedInTheCatalog;Le champ de latitude n'a pas été spécifié dans le catalogue pour {0}
TheLengthFieldForPArameterHasNotBeenSpecifiedInTheCatalog;Le champ de longueur n'a pas été spécifié dans le catalogue pour {0}
TheMapPathForTheDimensionParameterHasNotBeenSpecifiedInTheCatalog;L'itinéraire de la carte pour la dimension {0} n'a pas été spécifié dans le catalogue
CouldNotOpenTheCatalogParameterBetweenQuotes;Impossible d'ouvrir le catalogue '{0}'.
CouldNotOpenTheDocumentParameterBetweenQuotes;Impossible d'ouvrir le document "" {0} ""
CouldNotOpenTheDocument;Impossible d'ouvrir le document.
CouldNotConnectToTheServer;Impossible de se connecter au serveur.
CouldNotGenerateTheDashboardContent;Le contenu du tableau de bord n'a pas pu être généré.
CouldNotGenerateTheMap;La carte n'a pas pu être générée.
NoChangesDetected;Aucun changement détecté
ThisViewCannotBeRepresentedBecauseIndicatorReturnsNonNumericalData;Cet affichage ne peut pas être représenté car un indicateur renvoie des données non numériques
CannotRepresentAnyKindOfChartWithMoreThanTenThousandRecords;Vous ne pouvez représenter aucun type de graphique avec plus de 10 000 enregistrements
CannotRepresentBarOrPieChartsWithMoreThanThousandRecords;Vous ne pouvez pas représenter des graphiques à barres ou à secteurs de plus de 1 000 enregistrements.
CannotBeRepresentedMapsWithMoreThanTwoThousandRecords;Vous ne pouvez pas représenter des cartes de plus de 2 000 enregistrements.
NewCalculatedItem;Nouvel élément calculé
AnErrorOccurredWhileReadingTheFile;Une erreur s'est produite lors de la lecture du fichier.
PropagationToAllPanels;Propagation à tous les panneaux
DocumentProperties;Propriétés du document
ItemProperties;Propriétés des éléments
PathColonParameter;Route: {0}
AReportMustBeSelected;Un rapport doit être sélectionné.
TheCatalogOfThisDocumentHasBeenUpdatedThisUsuallyOccursWhenChangesOrImprovementsPublishedOnServer;Le catalogue de ce document a été mis à jour. ¬ Cela se produit généralement lorsque des modifications ou des améliorations sont publiées sur le serveur.
TheReferenceToThePanelManagerHasBeenLost;La référence à l'administrateur du panneau a été perdue.
TheReferenceToThePanelControllerHasBeenLost;La référence au contrôleur de panneau a été perdue.
TheReferenceToThePanelHasBeenLost;La référence au panneau a été perdue.
SelectParameterInThisSheet;Sélectionnez {0} sur cette feuille
SelectParameterInThisReport;Sélectionnez {0} dans ce rapport
SelectTheFileFromWhichWantImportTheReport;Sélectionnez le fichier à partir duquel vous souhaitez importer le rapport
SelectTheReportToImport;Sélectionnez le rapport à importer
ServerColonParameter;Serveur: {0}
UndefinedChartType;Type de graphique non défini
NotImplementedPanelType;Type de panneau non implémenté
TypeColonParameter;Tapez: {0}
CustomPopupWindow;Fenêtre contextuelle personnalisée
Area;Zone
SplineArea;Zone incurvée
StepArea;Zone en escalier
Bar;Bar
CleanWhite;Blanc propre
MagicLight;Bien sûr, la magie
FlatLight;Plat transparent
Classic;Classique
DataInputColumn;Colonne de saisie de données
DbConnection;Connexion DB
Cosmic;Cosmique
Day;Jour
WhereToSave;Où économiser
Echo;Echo
SecondaryYAxis;Axe Y secondaire
ManualEntry;Saisie manuelle
SingleDate;Date unique
Futuristic;Futuriste
QueriesHistory;Historique des requêtes
SheetParameter;Feuille {0}
ImportReport;Rapport d'importation
StartAndEnd;Début et fin
Intelligent;Intelligent
IStyle;iStyle
Line;Ligne
Spline;Ligne courbe
Timeline;Ligne de temps
StepLine;Ligne échelonnée
Month;Mois
FlatDark;Appartement sombre
Progressive;Progressif
SheetProperties;Propriétés de la feuille
PanelProperties;Propriétés du panneau
RedClock;Horloge rouge
DropDownSelector;Sélecteur déroulant
Week;Semaine
CompleteWeek;Semaine complète
Workweek;Semaine de travail
WithoutDataInput;Aucune saisie de données
WithoutPropagation;Pas de propagation
YellowSubmarine;Sous-marin jaune
SerieType;Type de série
TypeColonCronoServer;Type: serveur Crono
TypeColonDirect;Type: Direct
DefaultValue;Valeur par défaut
PopupWindow;Fenêtre contextuelle
UserItems;Articles utilisateur
Below;Vers le bas
BusinessActionsColon;Actions commerciales:
UpdateReport;Rapport de mise à jour
AllowsDataInputColon;Prend en charge la saisie de données:
AdjustWidthAutomatically;Ajustez la largeur automatiquement
AtTheEnd;À la fin
AtTheBeginning;Au début
AlternateRowsColor;Basculer les lignes de couleur
Donut;Anneau
NestedDonuts;Anneaux imbriqués
AnimateGraphic;Animer le graphique
StackedAreas;Zones empilées
FullStackedAreas;Zones entièrement empilées
SplineAreas;Zones courbes
StepAreas;Zones échelonnées
ArgumentsSwapped;Arguments échangés
DragHereToCreateASheetFilter;Faites glisser ici pour créer un filtre de feuille.
Above;Haut
AdvancedPluralMale;Avancé
StackedBars;Barres empilées
FullStackedBars;Barres empilées complètement
LockQueryParenthesesPreventsAddingRemovingColumnsAndFilters;Bloquer la requête (empêche l'ajout ou la suppression de colonnes et de filtres)
LockReport;Rapport de verrouillage
DeleteSelection;Supprimer la sélection
ChangeName;Rebaptiser
Car;Voiture
Colors;Les couleurs
MergeCells;Fusionner les cellules
CustomQueryOfValuesColon;Requête personnalisée de valeurs:
CopyAsService;Copier en tant que service
CopyData;Copier les données
LocalDocuments;Documents locaux
DuplicateSheet;Feuille en double
DuplicatePanel;Panneau en double
EditCube;Modifier le cube
QueriesEditor;Éditeur de requête
DeleteReport;Supprimer le rapport
Funnel;Entonnoir
InTheRow;En ligne
ReadOnlyDocumentColon;Il s'agit d'un document en lecture seule:
StyleColon;Style:
Stock;Estoc
FilterThisColumnInDependantPanels;Filtrer cette colonne dans les panneaux dépendants
SaveToServer;Enregistrer sur le serveur
History;L'histoire
Sheet;Feuille
HorizontalPlural;Horizontal
ImageParentheses32x32Colon;Image (32x32):
DebugInformation;Informations de débogage
ClearQuery;Effacer la requête
Splines;Lignes courbes
StepLines;Lignes décalées
MapUpperCase;CARTE
InputModeColon;Mode d'introduction:
PropagationMode;Mode de propagation
PropagationModeToOtherPanelsOfThisSheet;Mode de propagation au reste des panneaux de cette feuille:
RepresentationMode;Mode de représentation
ShowGrouping;Afficher le regroupement
ShowColumnHeaders;Afficher les en-têtes de colonne
ShowRowHeaders;Afficher les en-têtes de ligne
ShowNavigationControls;Afficher les commandes de navigation
ShowCoordinates;Afficher les coordonnées
ShowSearchBox;Afficher le champ de recherche
ShowDetails;Afficher les détails
ShowScale;Afficher l'échelle
ShowLabels;Afficher les balises
ShowFilters;Afficher les filtres
ShowLegend;Afficher la légende
ShowPositionLines;Afficher les lignes de position
ShowHorizontalLines;Afficher les lignes horizontales
ShowVerticalLines;Afficher les lignes verticales
ShowPoints;Afficher les points
AlwaysShowZero;Toujours afficher zéro
