_New;Neu
DragToTheRightPanelTheColumnsByWhichWantSortTheQuery;Ziehen Sie die Spalten, nach denen Sie die Abfrage sortieren möchten, in das rechte Fenster.
DragHereToCreateAFilter;Ziehen Sie hier, um einen Filter zu erstellen.
WindowsAuthentication;Windows-Authentifizierung
WindowsAuthenticationColon;Windows-Authentifizierung:
LookForUpdates;Suchen Sie nach Updates
CustomNumericFormatStrings;Zeichenfolgen im benutzerdefinierten Zahlenformat
ChangeLicenseNumber;Lizenznummer ändern
ChangesInTheLocalFolder;Änderungen im lokalen Ordner
BackupsFolder;Sicherungsordner
CronoConfigurationFolder;Crono-Konfigurationsordner
CloseWindowWhenExecutionFinished;Schließen Sie dieses Fenster am Ende der Ausführung
GroupColumnsColon;Clustering-Spalten:
OderColumnsColon;Spalten sortieren:
AvailableColumnsColon;Verfügbare Spalten:
CheckAccessForColon;Überprüfen Sie den Zugriff auf:
ConfigureProxyServer;Proxyserver konfigurieren
KeepCloudChanges;Behalten Sie Cloud-Änderungen bei
KeepLocalChanges;Behalten Sie lokale Änderungen bei
KeepAllCloudChanges;Behalten Sie alle Cloud-Änderungen bei
KeepAllLocalChanges;Behalten Sie alle lokalen Änderungen bei
ContainsUniqueValues;Es enthält eindeutige Werte
CronoUsesOpenSourceSoftwareAndThirdPartyApplications;Crono verwendet Open Source-Software und andere Anwendungen von Drittanbietern.
DownloadUpdatesAutomatically;Updates automatisch herunterladen
DownloadDirectoryColon;Verzeichnis herunterladen:
DownloadDirectory;Verzeichnis herunterladen
WorkDirectoryColon;Arbeitsverzeichnis:
RunGarbageCollector;Führen Sie den Garbage Collector aus
ParameterizableBusinessItem;Parametrierbares Geschäftselement
DeleteDatabaseParenthesesDropDatabase;Datenbank löschen (DROP DATABASE)
ConfigurationFolderContainsComputerConnectionsAndOtherInformation;Die Geräteverbindungen und andere Parameter werden im Konfigurationsordner gespeichert.
EnterYourLicenseNumber;Geben Sie Ihre Lizenznummer ein
ThisInformationIsShared;Diese Informationen werden geteilt.
ThisStatisticsWindowCanHelpYouDetectCandidateFieldsToFormPrimaryKeyOrUniqueRestriction;Dieses Statistikfenster kann Ihnen dabei helfen, Kandidatenfelder zu erkennen, um einen Primärschlüssel oder eine EINZIGARTIGE Einschränkung zu bilden.
WeStudyAndAppreciateAllRequestsWeRecive;Wir studieren und bewerten alle Anfragen, die wir erhalten.
FormulaFromExistingColumnsInQuery;Formel basierend auf vorhandenen Spalten in der Abfrage
SaveConfigurationInTheProfileOfEachUser;Speichern Sie die Einstellungen im Profil jedes Benutzers
SaveConfigurationInAFolderOnComputer;Speichern Sie die Konfiguration in einem Ordner auf dem Gerät
LicenseInformation;Lizenzinformationen
SystemInformation;Systeminformationen
StartCronoExcelWhenOpeningMicrosoftExcel;Starten Sie Crono Excel, wenn Sie Microsoft Excel öffnen
EnterTheVariableParametersOfThisDocument;Geben Sie die variablen Parameter dieses Dokuments ein.
TheCronoExcelRegistryKeyExists;Der Crono Excel-Registrierungsschlüssel ist vorhanden
TheInformationIsSavedIn;Die Informationen werden in gespeichert
LimitNumberOfRows;Begrenzen Sie die Anzahl der Zeilen
MoreInformationAboutTheChanges;Weitere Informationen zu den Änderungen
ShowAdvancedGITFunctionalities;Zeigen Sie erweiterte GIT-Funktionen an
ShowTextInSeparateWindowWhenDoubleClicking;Zeigen Sie beim Doppelklicken Text in einem separaten Fenster an
ShowAllRows;Alle Zeilen anzeigen
TheCronoExcelKeyDoesNotExistsInWindowsRegistry;In der Windows-Registrierung befindet sich kein Crono Excel-Schlüssel
NoRulesFoundForThisUser;Für diesen Benutzer wurden keine Regeln gefunden
NewCalculatedColumn;Neue Spalte berechnet
NewComputerConnection;Neuer Geräteanschluss
NuevoCombinedAndOrFilter;Neuer kombinierter Y / O-Filter
AnotherSqlServer;Ein weiterer SQL Server
ToInstallTheEvaluationVersionYouNeedALicenseNumberWithThisFormatColonXXX;Um die Testversion zu installieren, benötigen Sie eine Lizenznummer in diesem Format: XXXX-XXXX-XXXX.
ForMoreInformationSeetheHelpAboutThe;Weitere Informationen finden Sie in der Hilfe zu
ForHelpingUsImproveCrono;für die Verbesserung von Crono.
BetweenAllCronoApplicationsOfThisUser;für alle Anwendungen Crono dieses Benutzers.
BetweenAllCronoApplicationsAndUsersOfThisMachine;für alle Crono-Anwendungen und alle Benutzer dieser Maschine
PercentageOfTheTotalCountOfRecords;Prozentsatz der Gesamtzahl der Datensätze
TaskScheduler;Taskplaner
YouCanContactUsFromTheSupportWebsiteOrByEmail;Sie können uns über die Support-Website oder per E-Mail kontaktieren.
CountOfDifferentValues;Anzahl verschiedener Werte
PathOrUrlOfTheCatalogColon;Routen- oder Katalog-URL:
TheSampleDatabaseIsBeingDownloaded;Die Beispieldatenbank wird heruntergeladen
DefaultServer;Standardserver
RegisteredServers;Registrierte Server
RegisteredServersColon;Registrierte Server:
IfNotHaveValidLicenseNumberCanRequestForFreeAtFollowingAddressColon;Wenn Sie keine gültige Lizenznummer haben, können Sie diese kostenlos unter folgender Adresse anfordern:
UploadTheChangesToTheCloudAutomaticallyAfterSynchronize;Laden Sie Änderungen nach der Synchronisierung automatisch in die Cloud hoch
ColumnFilterType;Art des Spaltenfilters
RemoteBackupsLocation;Remote-Standortsicherungen
UseThisScreenToLimitNumberOfRecordsReturnedOrSetRankingBasedOnOneOfTheColumns;Verwenden Sie diesen Bildschirm, um die Anzahl der zurückgegebenen Datensätze zu begrenzen oder eine Rangfolge basierend auf einer der Spalten zu erstellen.
SelectedValues;Ausgewählte Werte
SeeObjectThatUseThisParameter;Siehe Objekte, die diesen Parameter verwenden
VerifyConnectionToLocalDB;Überprüfen Sie die Verbindung zu LocalDB
VerifyCredentials;Überprüfen Sie die Anmeldeinformationen
VerifyInstallation;Überprüfen Sie die Installation
VisitCronoWebsite;Besuchen Sie die Crono-Website
IAlreadyHaveALicenseNumber;Ich habe bereits eine Lizenznummer
IAlreadyHaveALicense;Ich habe bereits eine Lizenz
HomeUpperCase;STARTEN
Definition;Definition
Verify;Überprüfen Sie
Diagram;Diagramm
QueyUpperCase;BERATUNG
DescriptionColon;Beschreibung:
NameColon;Name:
UserColon;Benutzername:
PasswordColon;Passwort:
FontColon;Quelle:
UrlColon;URL:
ActionsColon;Aktionen:
DatabaseColon;Datenbank:
Cancel;Abbrechen
ConnectionColon;Verbindung:
DiscardChanges;Änderungen verwerfen
Disabled;Deaktiviert
ExecutingElipsis;Laufen ...
Environment;Umwelt
ListOfValues;Liste der Werte
ListOfValuesColon;Werteliste:
EditConnection;Verbindung ändern
FullNameColon;Vollständiger Name:
ServerColon;Server:
DataTypeColon;Art der Daten:
ParenthesesWithoutProxy;(ohne Proxy)
Activated;Ein
UpdateList;Liste aktualisieren
AdvancedPluralFemale;Erweitert
BackgroundColorColon;Hintergrundfarbe:
QueriesColon;Fragen:
PasswordLocalizedColon;Passwort:
EmailColon;E-Mail:
Design;Design
CompanyColon;Firma:
ExpressionColon;Ausdruck:
FormulaColon;Formel:
Save;Speichern
ReadAndWrite;Lesen und schreiben
Message;Nachricht
EditServer;Server ändern
SourceColon;Herkunft:
Path;Route
SelectSeveral;Wählen Sie mehrere aus
TextColon;Text:
Type;Typ
FormatType;Geben Sie das Format ein
ValueColon;Wert:
CheckConnection;Überprüfen Sie die Verbindung
ParenthesesRestOfEurope;(Rest von Europa)
ParenthesesRestOfTheWorld;(Rest der Welt)
AnonymousAccess;Anonymer Zugriff
About;Über
AttachedColon;Anhang:
Germany;Deutschland
AmazonS3;Amazon S3
Andorra;Andorra
Argentina;Argentinien
Australia;Australien
Austria;Österreich
SqlAuthentication;SQL-Authentifizierung
Belgium;Belgien
Bolivia;Bolivien
Brazil;Brasilien
Bulgaria;Bulgarien
Search;Suche
ConnectionStringColon;Verbindungszeichenfolge:
Calculator;Rechner
CalendarColon;Kalender:
ChangesInTheCloud;Änderungen in der Cloud
Canada;Kanada
Loading;Laden
CubeFolderColon;Würfelordner:
FolderColon;Ordner:
GitFolders;GIT-Ordner
LocalCatalog;Lokaler Katalog
CatalogColon;Katalog:
Catalogs;Kataloge
RecentCatalogsColon;Aktuelle Kataloge:
Chile;Chili
China;China
Cyprus;Zypern
CityColon;Stadt:
AccessKey;Passwort
Colombia;Kolumbien
Column;Spalte
Check;Überprüfen Sie
Granted;Zugegeben
ComputerConnection;Geräteanschluss
ComputerConnections;Geräteanschlüsse
ConnectionsColon;Verbindungen:
ContainsNulls;Es enthält Nullen
CopyText;Text kopieren
CostaRica;Costa Rica
CreateDatabase;Datenbank erstellen
AmazonCredentials;Amazon-Anmeldeinformationen
EmailCredentials;Mail-Anmeldeinformationen
GitCredentials;GIT-Anmeldeinformationen
NetworkCredentials;Netzwerkanmeldeinformationen
Cuba;Kuba
Cube;Eimer
Cubes;Würfel
LocalCubesColon;Lokale Würfel:
Denied;Verweigert
Deny;Verweigern
DownloadColon;Herunterladen:
_Stop;Hör auf
Denmark;Dänemark
UrlAddressColon;URL-Adresse:
AddressColon;Adresse:
DomainColon;Domain:
Ecuador;Ecuador
EditManually;Manuell bearbeiten
ExecutingActions;Aktionen ausführen
ElSalvador;El Salvador
BusinessItemColon;Geschäftselement:
RemoveFromTheList;Aus der Liste entfernen
DeleteFilter;Filter entfernen
Awaiting;In der Warteschleife
_Error;Fehler
Spain;Spanien
UnitedStates;Vereinigte Staaten
Style;Stil
TokenDateColon;Token-Datum:
Fetch;Holen Sie sich
Philippines;Philippinen
FilterCatalogColon;Filterkatalog:
AdvancedFilter;Erweiterter Filter
CombinedFilterColon;Kombinierter Filter:
AdvancedFormula;Erweiterte Formel
France;Frankreich
Generic;Generisch
Gibraltar;Gibraltar
Greece;Griechenland
GroupsColon;Gruppen:
SaveAs;Speichern unter
SaveInTheCloud;In der Cloud speichern
SaveLocally;In lokal speichern
Guatemala;Guatemala
Guinea;Guinea
EquatorialGuinea;Äquatorialguinea
Haiti;Haiti
Inherited;Geerbt
Honduras;Honduras
Identification;ID
AvailableLanguagesColon;Verfügbare Sprachen:
India;Indien
Ireland;Irland
Israel;Israel
Italy;Italien
Japan;Japan
Read;Lesen
LimitResult;Ergebnis begrenzen
LimitColon;Limit:
Clear;Sauber
ClearColumns;Säulen reinigen
Morocco;Marokko
MessageColon;Nachricht:
Messages;Nachrichten
Mexico;Mexiko
ThankYouSoMuch;Vielen Dank
SampleColon;Beispiel:
Nicaragua;Nicaragua
ConnectionName;Verbindungsname
KeyNameColon;Schlüsselname:
BucketNameColon;Eimername:
Norway;Norwegen
NewConnection;Neue Verbindung
NewParameter;Neuer Parameter
LicenseNumberColon;Lizenznummer:
AdvancedOptions;Erweiterte Optionen
AdvancedOperators;Fortgeschrittene Bediener
SortResult;Ergebnis sortieren
OrganizationColon;Organisation:
CountryColon;Land:
Netherlands;Niederlande
Panama;Panama
Paraguay;Paraguay
CalculatedParameter;Berechneter Parameter
UserParameter;Benutzerparameter
ParameterColon;Parameter:
Pending;Ausstehend
PermissionsColon;Berechtigungen:
ContactPersonColon;Ansprechpartner:
Peru;Peru
PleaseWait;Bitte warten Sie.
Portugal;Portugal
GitProjectsColon;Git-Projekte:
PropertiesColon;Eigenschaften:
ProxyColon;Proxy:
PuertoRico;Puerto Rico
PortColon;Hafen:
Pull;Ziehen
Push;Drücken Sie
Refresh;Aktualisieren
RegionColon;Region:
Register;Registrieren
RegisterProduct;Produkt registrieren
UnitedKingdom;Vereinigtes Königreich
DominicanRepublic;Dominikanische Republik
Russia;Russland
SecretKeyColon;Geheimschlüssel:
MultipleSelection;Mehrfachauswahl
SimpleSelection;Einfache Auswahl
SelectAll;Alles auswählen
CronoServer;Crono-Server
LocalServerColon;Lokaler Server:
SierraLeone;Sierra Leone
_ReadOnly;Nur lesen
Support;Unterstützung
SqlServer;SQL Server
SouthAfrica;Südafrika
Sweden;Schweden
Switzerland;Schweiz
Substitutions;Auswechslungen
AccessTypeColon;Art des Zugriffs:
TokenColon;Token:
JobsColon;Werke:
Turkey;Türkei
CurrentLocationColon;Aktueller Standort:
Uruguay;Uruguay
UsernameColonNotLocalized;Benutzername:
UserOrGroupColon;Benutzer oder Gruppe:
UsersColon;Benutzer:
DefaultValueColon;Standardwert:
Venezuela;Venezuela
ShowDifferences;Unterschiede sehen
ShowDetailedError;Siehe detaillierten Fehler
ShowReport;Siehe Bericht
ShowExecutionLog;Siehe Ausführungsprotokoll
ExpectedVersion;Erwartete Version
VersionColon;Version:
SupportWebColon;Support Web:
AndUpperCase;Und
NewBusinessItem;Neuer Geschäftsgegenstand
ThereWasAnErrorDuringObjectVerification;Bei der Objektüberprüfung ist ein Fehler aufgetreten.
NewFolder;Neuer Ordner
NewItem;Neuer Artikel
Right;Richtig
Document;Dokument
EditReport;Bericht bearbeiten
AwaitingElipsis;Warten ...
Browse;Untersuche
EndDate;Enddatum
StartDate;Startdatum
Filters;Filter
Parameters;Parameter
ForeignKeys;Fremdschlüssel
Views;Ansichten
TimeElapsedColon;Verstrichene Zeit:
AuthorColon;Autor:
TitleColon;Titel:
NewQuery;Neue Abfrage
Publish;Post
AskEnsureWantPublishThisDocumentPublicationLocationColonParameterTheDocumentWillBeSavedBeforePublishing;Möchten Sie dieses Dokument wirklich veröffentlichen?||Erscheinungsort:|{0}||Das Dokument wird vor der Veröffentlichung gespeichert.
CreatingMainWindow;MainWindow erstellen
AskWantDeleteAllSelectedBusinessItems;Möchten Sie alle ausgewählten Geschäftselemente löschen?
ReportProperties;Berichtseigenschaften
TheCatalogPathCannotBeLeftBlank;Der Katalogpfad darf nicht leer bleiben
DefaultCredentials;Standardanmeldeinformationen
TheUserIsNotDefined;Der Benutzer ist nicht definiert
UpdatingElipsis;Aktualisierung ...
CurrentlyItIsNotPossibleToModifyDefaultIconsOfConditionalFormatsThisConditionalFormatMustBeDeletedIntColumnParameterBetweenParenthesesInOrderToSaveThisDocument;Derzeit ist es nicht möglich, die Standardsymbole von bedingten Formaten zu ändern.||Sie müssen dieses bedingte Format in der Spalte '{0}' löschen, um dieses Dokument zu speichern.
TheFileDoesNotExists;Die Datei existiert nicht
ThisVersionIsTooOldConsultWithYourSystemAdministratorToInstallANewerVersionOfCrono;Diese Version ist zu alt. Wenden Sie sich an Ihren Systemadministrator, um eine neuere Version von Crono zu installieren.
FiltersOfThisSheet;Filter dieses Blattes
WeCannotSaveParameterBetweenQuotesBecauseTheFileIsReadOnlyInOrderToSaveChangesSaveReportWithNewNameInDifferentLocation;Wir können '{0}' nicht speichern, da die Datei schreibgeschützt ist.||Speichern Sie den Bericht unter einem neuen Namen an einem anderen Speicherort, um Ihre Änderungen zu speichern.
FileUpperCase;DATEI
OpenLocation;Offener Ort
NewSite;Neue Seite
ShowLog;Siehe Aufzeichnung
NewReport;Neuer Bericht
InterfaceLanguageColon;Schnittstellensprache:
Application;Anwendung
IfFindErrorsInAnyTranslationHelpUsByWritingUsToInfoCronoDotNet;Wenn Sie Fehler in einer der Übersetzungen finden, helfen Sie uns, indem Sie an info@crono.net schreiben
TestServer;Server testen
ThereAreUnsavedChangesAskEnsureWantCloseAndLoseChanges;Es gibt nicht gespeicherte Änderungen. Sind Sie sicher, dass Sie die vorgenommenen Änderungen schließen und verlieren möchten?
Rename;Umbenennen
CopyResult;Ergebnis kopieren
ShowSql;Siehe SQL
Result;Ergebnis
CopySql;SQL kopieren
UsernameColon;Benutzername:
VariableNameColon;Variablenname:
SmtpServerColon;SMTP-Server:
EnableSsl;Aktivieren Sie SSL
SenderEmailBetweenParenthesesColon;Absender (E-Mail):
SenderNameBetweenParenthesesColon;Absender (Name):
VariableValueColon;Wert der Variablen:
TestingSmtpServer;Testen des SMTP-Servers
AskSaveChangesOfParameterBetweenQuotes;Änderungen in '{0}' speichern?
CopyAllTablesNames;Kopieren Sie den Namen aller Tabellen
ParameterRows;{0: N0} Zeilen
ParameterColumns;{0: N0} Spalten
CopyTablesNames;Kopieren Sie den Namen der Tabellen
CopyFieldsNames;Feldnamen kopieren
AnUnexpectedErrorOccurredDuringConnectionStringCreation;Beim Generieren der Verbindungszeichenfolge ist ein unerwarteter Fehler aufgetreten.
Display;Zeigen
YouMustSpecifyAValidNameForThisVariable;Sie müssen einen gültigen Namen für diese Variable angeben.
AVariableWithThisNameAlreadyExists;Eine gleichnamige Variable existiert bereits.
SaveAll;Alles speichern
ParameterReadonlyBetweenSquareBrackets;{0} [schreibgeschützt]
ExecuteAll;Führen Sie alle aus
Authorizations;Berechtigungen
CollapseAll;Alles zusammenbrechen
CollapseChildren;Kinder zusammenbrechen
ManageAuthorizations;Berechtigungen verwalten
ManageFolderAuthorizations;Ordnerberechtigungen verwalten
ConvertToWebFolder;In Webordner konvertieren
CronoServerParameterHasBeenInstalledSuccessfully;Crono Server {0} wurde erfolgreich installiert
YouMustSpecifyTheServerName;Sie müssen den Servernamen angeben
ErrorInstallingCronoServer;Fehler bei der Installation von Crono Server
InstallingCronoServer;Crono Server installieren
TheSpecifiedServerUrlIsNotValid;Die angegebene Server-URL ist ungültig
ServerProperties;Servereigenschaften
SelectCronoServerFolder;Wählen Sie den Crono-Server-Ordner
SelectTheVersionToInstall;Wählen Sie die zu installierende Version aus
ManagingAuthorizationsForTheDirectoryColon;Verwalten von Berechtigungen für das Verzeichnis:
ManageConnections;Verbindungen verwalten
LogDatabase;Protokolldatenbank
LogDatabaseColon;Protokolldatenbank:
ConfigurationFolderColon;Konfigurationsordner:
ContentFolderColon;Inhaltsordner:
ServerFolderParenthesesIisApplicationColon;Serverordner (IIS-Anwendung):
CheckStatus;Überprüfen Sie den Status
CheckTheDatabaseStructure;Überprüfen Sie die Struktur der Datenbank
Content;Inhalt
TheServerIsWorkingCorrectly;Der Server funktioniert ordnungsgemäß.
GoogleClientIdColon;Google Kunden-ID:
GoogleClientSecretColon;Google Secret Client:
ServerInformation;Serverinformationen
AuthenticationModeColon;Authentifizierungsmodus:
CannotConnectToTheServerColon;Es ist nicht möglich, eine Verbindung zum Server herzustellen:
RequestCount;Anzahl der Anfragen
InheritedPermissions;Legacy-Berechtigungen
RecordCronoServerActivityInALogDatabase;Notieren Sie die Aktivität von Crono Server in einer Protokolldatenbank.
ActivityLog;Aktivitätsprotokoll
LastConnection;Letzte Verbindung
ServerUrlColon;Server-URL:
User;Benutzername
UserOrGroup;Benutzer oder Gruppe
ConnectedUsers;Verbundene Benutzer
InstalledVersionColon;Installierte Version:
NewGroup;Neue Gruppe
TheHostHasNoAValidFormatTheSpacesAndCharactersColonBarAreNotAllowed;Der Host hat kein gültiges Format, die Leerzeichen und die Zeichen ': /' werden nicht unterstützt.
TheSelectedSiteIsAlreadyInTheList;Die ausgewählte Site ist bereits in der Liste enthalten
NoUserOrGroupHasBeenSelected;Ein Benutzer oder eine Gruppe wurde nicht ausgewählt.
NewUser;Neuer Benutzer
SiteProperties;Site-Eigenschaften
TheUserNameMustBeEntered;Benutzername muss eingegeben werden
SelectTheSiteFolder;Wählen Sie den Site-Ordner aus
IfYouSelectThisOPtionServerWillRespondAllRequestAccordingTheFirstSiteWithoutValidatingHostOrAuthentication;Wenn Sie diese Option auswählen, antwortet der Server auf alle Anforderungen gemäß der ersten ' Site ', ohne entweder den ' Host ' oder die Authentifizierung zu überprüfen.
AutoRouteCronoXmlFilesCxmlBetweenParentheses;Authentifizieren Sie Crono XML-Dateien (* .cxml)
AutoRouteMarkdownFilesMdBetweenParentheses;Markdown-Dateien authentifizieren (* .md)
StartDocumentColon;Dokument starten:
IsADevelopementServerLocalhostBetweenParentheses;Es ist ein Entwicklungsserver (localhost)
Enabled;Aktiviert
EditSite;Site bearbeiten
RouteColon;Route:
Sites;Websites
SitesColon;Websites:
UsersAndGroups;Benutzer und Gruppen
ParameterAskWantToSelectANewPath;{0}|Möchten Sie eine neue Route auswählen?
ErrorInsertingDataColonParameterParameter;Fehler beim Einfügen der Daten:|{0}
TheQueryOfDatainputValuesIsNotCorrectParameter;Die Abfrage von Dateneingabewerten ist nicht korrekt||{0}
ThePanelWillBeOverwrittenAskWantContinue;Das Panel wird überschrieben.||Möchten Sie fortfahren?
TitleBetweenHyphensExecutionUpperCase;----------------- AUSFÜHRUNG -----------------
DoubleHyphenEndTimeColonParameter;- Endzeit: {0}
DoubleHyphenStartTimeColonParameter;- Startzeit: {0}
DoubleHyphenNumberOfRecordsColonParameter;- Anzahl der Datensätze: {0}
DoubleHyphenTotalTimeColonParameterSeconds;- Gesamtzeit: {0: N2} Sekunden
ParameterPerhapsBeingUsedByAnotherProgram;{0} Möglicherweise wird es von einem anderen Programm verwendet.
ParameterPerhapsHasBeenMoverOrDeleted;{0} Möglicherweise wurde es verschoben oder gelöscht.
ParameterNotDefined;{0} undefiniert.
AskWantDeleteTheReportParameterBetweenQuotes;Möchten Sie den Bericht '{0}' löschen?
AskWantToDeleteTheFolderParameterBetweenQuotesAndAllItsContents;Möchten Sie den Ordner '{0}' und seinen gesamten Inhalt löschen?
AskEnsureWantDeleteThisSheet;Möchten Sie dieses Blatt wirklich löschen?
AskEnsureWantDeleteThisPanel;Möchten Sie dieses Panel wirklich löschen?
DashboardOpeningDiscarded;Dashboard-Öffnung verworfen
EndActionExecutedSuccessfully;Aktion am Ende erfolgreich ausgeführt
InitialActionExecutedSuccessfully;Aktion zunächst erfolgreich ausgeführt
ActionExecutedSuccessfully;Aktion erfolgreich ausgeführt.
EachRowActionExecutedSuccessfully;Aktion für jede Zeile erfolgreich ausgeführt
ReportManager;Berichts-Manager
WpfApplicationLoaded;WPF-Anwendung geladen
AuthenticationColonWindows;Authentifizierung: Windows
ApplicationLoadCompleted;Anwendungsladung abgeschlossen
RemoteCatalogInnaccesibleParameterBetweenParenthesesCheckInternetConnectionAndRemoteCatalogAddress;Remote-Katalog nicht zugänglich ({0}). Überprüfen Sie Ihre Internetverbindung und die Remote-Katalogadresse.
CreateDocumentWithCatalogParameterBetweenQuotes;Erstellen Sie ein Dokument mit dem Katalog ' {0} '
NetworkCredentialsColonParameter;Netzwerkanmeldeinformationen: {0}
NetworkCredentialsColonNotSpecified;Netzwerkanmeldeinformationen: Nicht angegeben
CronoServerInfoConnectedUserColonParameter;Crono Server (Info), Verbundener Benutzer: {0}
CronoServerInfoIisUserDomainNameColonParameter;Crono-Server (Info), IIS-Benutzerdomänenname: {0}
CronoServerInfoServerDomainNameColonParameter;Crono Server (Info), Server Domain Name: {0}
WhenTwoDimensionsPieChartMapsOnlySupportsOneIndicator;Bei zwei Dimensionen unterstützen Kreisdiagrammkarten nur einen Indikator
FromLeftToRight;Von links nach rechts
YouMustChooseTheNameOfTheReport;Sie müssen den Namen des Berichts auswählen
DomainColonParameter;Domain: {0}
TheFileParameterBetweenQuotesDoesNotExists;Die Datei '{0}' existiert nicht.
TheSelectedFileIsTheSameOneCurrentlyOpen;Die ausgewählte Datei ist dieselbe, die derzeit geöffnet ist.
TheSelectedFileDoesNotContainAnyReport;Die ausgewählte Datei enthält keine Berichte.
TheCalendarNeedsADateDimension;Der Kalender benötigt eine Datumsdimension.
TheCalendarRequiresAnyDataToShowInAdditionToTheDate;Der Kalender benötigt einige Informationen, um einen Teil des Datums anzuzeigen.
TheCatalogParameterBetweenParenthesesIsBadDefined;Der Katalog '{0}' ist schlecht definiert.
TheCatalogHasBeenModifiedByAnotherProgramAndHasBeenUpdatedSuccessfully;Der Katalog wurde von einem anderen Programm geändert und erfolgreich aktualisiert.
TheFunnelChartOnlySupportsOneDimensionAsMaximum;Das Trichterdiagramm unterstützt nur eine maximale Abmessung
TheReportWillBeImportedInAnUnexpectedPlace;Der Bericht wird an einem unerwarteten Ort importiert.
ThePanelNameCannotBeLeftBlank;Der Name des Panels darf nicht leer bleiben.
TheDatePickerCanOnlyBeRepresentedWithADateDimensionAndAnIndicator;Die Datumsauswahl kann nur mit einer Datumsdimension und einem Indikator dargestellt werden
TheGaugeCanOnlyBeRepresentedWhenThereIsOnlyOneValue;Der Tacho kann nur dargestellt werden, wenn nur ein Wert vorhanden ist
ThisChartRequiresAtLeastOneDimension;Dieses Diagramm erfordert mindestens eine Dimension
ThisChartRequiresAnIndicator;Diese Grafik erfordert eine Anzeige
ThisChartOnlyAllowsOneIndicator;Dieses Diagramm unterstützt nur einen Indikator
ThisChartCanOnlyBeConstructedFromAGrographicalDimensionAndAnIndicator;Dieses Diagramm kann nur aus einer geografischen Dimension und einem Indikator erstellt werden
ThisMapAtMostAcceptsTwoDimensions;Diese Karte akzeptiert höchstens 2 Dimensionen
ExcludeParameterInThisSheet;Schließen Sie {0} auf diesem Blatt aus
ExcludeParameterInThisReport;Schließen Sie {0} in diesem Bericht aus
ThereWasAnErrorUpdatingTheChartDevelopersAlreadyNotified;Beim Aktualisieren des Diagramms ist ein Fehler aufgetreten. Die Entwickler wurden bereits benachrichtigt.
ThereWasAnErrorDrawingTheChartColon;Beim Zeichnen des Diagramms ist ein Fehler aufgetreten:
ThereWasAnErrorDrawingTheChartLabelsColon;Beim Zeichnen der Diagrammbeschriftungen ist ein Fehler aufgetreten:
ThereWasAnErrorFinalizingTheChartColon;Am Ende des Diagramms ist ein Fehler aufgetreten:
ThereAreTooManyArgumentsToRepresentTheChart;Es gibt zu viele Argumente, um das Diagramm darzustellen
ReportParameter;Bericht {0}
TheSheetParameterHasAlreadyBeenInitialized;Blatt {0} wurde bereits initialisiert
ThePivotTableAsMaximumAllowsTwoDimensions;Das schwenkbare Tischmaximum unterstützt zwei Dimensionen
ThePivotTableNeedsAnIndicator;Die Pivot-Tabelle benötigt einen Indikator.
ThePivotTableOnlyAllowsOneIndicatorWheItIsShownWithTwoDimensions;Die Pivot-Tabelle unterstützt nur einen Indikator, wenn er zweidimensional angezeigt wird
TheDataOfTheDimensionParameterAreNotDates;Die Daten der Dimension {0} sind keine Daten
ScatterChartsAtMostAllowThreeIndicatorsInOrderToShowTheXAxysYAxisAndThickness;Streudiagramme unterstützen höchstens drei Indikatoren, um die X-Achse, die Y-Achse und die Dicke anzuzeigen
ScatterChartsNeedAtLeastTwoIndicatorsInOrderToShowTheXAxisAndYAxis;Streudiagramme benötigen mindestens zwei Indikatoren, die auf der X- und Y-Achse angezeigt werden
StockChartsNeedOneDimensionAndThreeOrFourIndicators;Aktiencharts benötigen eine Dimension und drei oder vier Indikatoren
TheReportsDoNotUseTheSameCatalogs;Berichte verwenden nicht dieselben Kataloge.
PieChartsMapsNeedAtLeastOneIndicator;Kreisdiagramme benötigen mindestens einen Indikator
MapsRequireOneGeographicDimension;Karten erfordern 1 geografische Dimension
ItWasNotPossibleToAccessTheDocumentCatalog;Der Zugriff auf den Dokumentenkatalog war nicht möglich.
ItWasNotPossibleToObtainTheCoordinatesListForTheDimensionParameterBetweenQuotes;Die Koordinatenliste für die Dimension '{0}' konnte nicht abgerufen werden.
ThereIsNotEnoughDataToRepresentAChart;Es sind nicht genügend Daten vorhanden, um ein Diagramm darzustellen
TheAttributeToLinkParameterWithTheMapHasNotBeenSpecifiedInTheCatalog;Das Attribut zum Verknüpfen von {0} mit der Karte wurde im Katalog nicht angegeben
TheIdFieldToLinkParameterWithMapHasNotBeenSpecifiedInTheCatalog;Das ID-Feld zum Verknüpfen von {0} mit der Karte wurde im Katalog nicht angegeben
TheLatitudeFieldHasForParameterHasNotBeenSpecifiedInTheCatalog;Das Breitengradfeld wurde im Katalog für {0} nicht angegeben.
TheLengthFieldForPArameterHasNotBeenSpecifiedInTheCatalog;Das Längenfeld wurde im Katalog für {0} nicht angegeben
TheMapPathForTheDimensionParameterHasNotBeenSpecifiedInTheCatalog;Die Kartenroute für Dimension {0} wurde im Katalog nicht angegeben
CouldNotOpenTheCatalogParameterBetweenQuotes;Katalog '{0}' konnte nicht geöffnet werden.
CouldNotOpenTheDocumentParameterBetweenQuotes;Das Dokument ' {0} ' konnte nicht geöffnet werden
